id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,foul_committed,foul_won,off_camera,ball_receipt,counterpress,interception,dribble,clearance,duel,out,bad_behaviour,shot,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,ball_recovery,block,substitution,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,goalkeeper,related_events,related_events_1,carry_end_location_0,carry_end_location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,related_events_2,related_events_3,dribble_outcome_id,dribble_outcome_name,related_events_4,foul_committed_advantage,foul_won_advantage,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_type_id,pass_type_name,ball_recovery_recovery_failure,pass_deflected,block_deflection
9efcfa79-04d7-4ef7-98f8-a04cfbb93da5,2225,2,00:10:45.634,55,45,23,Goal Keeper,104,217,Barcelona,2,From Corner,220,Real Madrid,0.0,,78f4c78f-0fc8-493b-9321-bdad695a9d36,5597,Keylor Navas Gamboa,1,Goalkeeper,0.7,38.4,,,,,,,,,,,,,,,,26.0,Goal Conceded,55.0,No Touch,46.0,Standing,44.0,Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3032d80-d6df-4204-a15d-6ba9fe57bb65,2234,2,00:12:00.582,57,0,4,Duel,106,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,4c3b5d02-e335-42ed-90aa-c4df3ad279be,4320,Neymar da Silva Santos Junior,21,Left Wing,34.9,16.3,,,True,,,,,True,,,,,,,,,,,,,,,,,,,11.0,Tackle,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2072fbbd-7150-4459-8828-7a4dc9087386,2235,2,00:12:01.113,57,1,2,Ball Recovery,106,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,,5506,Javier Alejandro Mascherano,5,Left Center Back,31.1,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a742abde-b7e4-49f8-afc6-b481d6de38a1,2236,2,00:12:01.113,57,1,43,Carry,106,217,Barcelona,1,Regular Play,217,Barcelona,2.073556,,2072fbbd-7150-4459-8828-7a4dc9087386,5506,Javier Alejandro Mascherano,5,Left Center Back,31.1,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f86c50f7-3334-4593-b803-ed8725971623,35.7,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,
f86c50f7-3334-4593-b803-ed8725971623,2237,2,00:12:03.187,57,3,30,Pass,106,217,Barcelona,1,Regular Play,217,Barcelona,1.603001,,d4419e4a-26bf-468a-8d34-45168f5c008c,5506,Javier Alejandro Mascherano,5,Left Center Back,35.7,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,22.965408,0.97433984,1.0,Ground Pass,48.6,50.9,40.0,Right Foot,,,,,,,,,,,,,,,,
d4419e4a-26bf-468a-8d34-45168f5c008c,2238,2,00:12:04.790,57,4,42,Ball Receipt*,106,217,Barcelona,1,Regular Play,217,Barcelona,,,f86c50f7-3334-4593-b803-ed8725971623,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,48.6,50.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f81dbda-5c34-4109-a149-bcaf1437fca0,2239,2,00:12:04.790,57,4,43,Carry,106,217,Barcelona,1,Regular Play,217,Barcelona,3.104799,,4398d5b4-c653-4dc9-80a7-e77108e4ee1a,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,48.6,50.9,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d4419e4a-26bf-468a-8d34-45168f5c008c,64.0,43.3,,,,,,,,,,,df643d92-93f9-478f-bc8f-502fd42edce3,,,,,,,,,,,,,,,
df643d92-93f9-478f-bc8f-502fd42edce3,2240,2,00:12:05.881,57,5,17,Pressure,106,217,Barcelona,1,Regular Play,220,Real Madrid,1.393671,,5f81dbda-5c34-4109-a149-bcaf1437fca0,5574,Toni Kroos,15,Left Center Midfield,69.3,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222fb196-512c-4015-bb0f-ffdfaab6e18a,2241,2,00:12:07.274,57,7,17,Pressure,106,217,Barcelona,1,Regular Play,220,Real Madrid,0.7688,,1fa81c1e-6ab6-4fce-b572-37329d6b253d,5539,Carlos Henrique Casimiro,10,Center Defensive Midfield,56.4,38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4398d5b4-c653-4dc9-80a7-e77108e4ee1a,,,,,,,,,,,,,8a2a5dbf-9e06-46c0-a0df-479fc7768fd1,bfd231b9-cc1d-45d2-af73-675e04998877,,,,,,,,,,,,,,
e036ad10-81a9-4309-aa5f-cae54ce7169a,2242,2,00:12:07.895,57,7,39,Dribbled Past,106,217,Barcelona,1,Regular Play,220,Real Madrid,0.0,,1fa81c1e-6ab6-4fce-b572-37329d6b253d,5539,Carlos Henrique Casimiro,10,Center Defensive Midfield,56.1,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4398d5b4-c653-4dc9-80a7-e77108e4ee1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4398d5b4-c653-4dc9-80a7-e77108e4ee1a,2243,2,00:12:07.895,57,7,14,Dribble,106,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,222fb196-512c-4015-bb0f-ffdfaab6e18a,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,64.0,43.3,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e036ad10-81a9-4309-aa5f-cae54ce7169a,,,,,,,,,,,,,,,8.0,Complete,,,,,,,,,,,,
1fa81c1e-6ab6-4fce-b572-37329d6b253d,2244,2,00:12:07.895,57,7,43,Carry,106,217,Barcelona,1,Regular Play,217,Barcelona,0.06,,222fb196-512c-4015-bb0f-ffdfaab6e18a,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,64.0,43.3,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4398d5b4-c653-4dc9-80a7-e77108e4ee1a,64.8,42.2,,,,,,,,,,,52073737-9425-4c48-b578-3a5a54ceeada,8a2a5dbf-9e06-46c0-a0df-479fc7768fd1,,,e036ad10-81a9-4309-aa5f-cae54ce7169a,,,,,,,,,,,
52073737-9425-4c48-b578-3a5a54ceeada,2245,2,00:12:07.955,57,7,22,Foul Committed,106,217,Barcelona,1,Regular Play,220,Real Madrid,0.0,,1fa81c1e-6ab6-4fce-b572-37329d6b253d,5539,Carlos Henrique Casimiro,10,Center Defensive Midfield,55.3,37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8a2a5dbf-9e06-46c0-a0df-479fc7768fd1,,,,,,,,,,,,,bfd231b9-cc1d-45d2-af73-675e04998877,,,,,True,,,,,,,,,,
8a2a5dbf-9e06-46c0-a0df-479fc7768fd1,2246,2,00:12:07.955,57,7,21,Foul Won,106,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,222fb196-512c-4015-bb0f-ffdfaab6e18a,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,64.8,42.2,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52073737-9425-4c48-b578-3a5a54ceeada,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
bfd231b9-cc1d-45d2-af73-675e04998877,2247,2,00:12:07.955,57,7,43,Carry,106,217,Barcelona,1,Regular Play,217,Barcelona,1.378659,,222fb196-512c-4015-bb0f-ffdfaab6e18a,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,64.8,42.2,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52073737-9425-4c48-b578-3a5a54ceeada,70.3,36.8,,,,,,,,,,,8a2a5dbf-9e06-46c0-a0df-479fc7768fd1,b9126569-cd65-4802-b032-09e2f703dafc,,,,,,,,,,,,,,
b9126569-cd65-4802-b032-09e2f703dafc,2248,2,00:12:09.333,57,9,30,Pass,106,217,Barcelona,1,Regular Play,217,Barcelona,1.494741,,055567ea-4fa3-4df2-a50e-3cd5da81d000,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,70.3,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4320.0,Neymar da Silva Santos Junior,16.113659,-1.1487913,1.0,Ground Pass,76.9,22.1,38.0,Left Foot,,,,,,,,,,,,,,,,
055567ea-4fa3-4df2-a50e-3cd5da81d000,2249,2,00:12:10.828,57,10,42,Ball Receipt*,106,217,Barcelona,1,Regular Play,217,Barcelona,,,b9126569-cd65-4802-b032-09e2f703dafc,4320,Neymar da Silva Santos Junior,21,Left Wing,76.9,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693f049c-716d-4609-9e60-c5afe3278c7c,2250,2,00:12:10.828,57,10,43,Carry,106,217,Barcelona,1,Regular Play,217,Barcelona,2.546013,,055567ea-4fa3-4df2-a50e-3cd5da81d000,4320,Neymar da Silva Santos Junior,21,Left Wing,76.9,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,df346511-27e1-46aa-91cb-8981f42df0dc,84.8,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,
df346511-27e1-46aa-91cb-8981f42df0dc,2251,2,00:12:13.374,57,13,30,Pass,106,217,Barcelona,1,Regular Play,217,Barcelona,0.825527,,59f48837-7540-4a0c-9fba-a7bea49669ec,4320,Neymar da Silva Santos Junior,21,Left Wing,84.8,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,da68d13d-ff42-4b7e-85f8-7bf868b254b7,,,5470.0,Ivan Rakitić,17.173527,1.0993364,2.0,Low Pass,92.6,41.6,40.0,Right Foot,,,,,,,,9.0,Incomplete,,,,,,,
59f48837-7540-4a0c-9fba-a7bea49669ec,2252,2,00:12:14.200,57,14,42,Ball Receipt*,106,217,Barcelona,1,Regular Play,217,Barcelona,,,df346511-27e1-46aa-91cb-8981f42df0dc,5470,Ivan Rakitić,13,Right Center Midfield,97.4,53.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,
2d13ec55-ee3e-4c4a-82c5-d6ece9e2d54c,2264,2,00:12:39.992,57,39,30,Pass,108,217,Barcelona,4,From Throw In,217,Barcelona,3.8838,,e0224f2c-2feb-46e7-b9e1-5496627c5f67,4324,Daniel Alves da Silva,2,Right Back,93.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.179491,-2.5786417,2.0,Low Pass,82.7,73.5,,,,,,,,,,9.0,Incomplete,,,67.0,Throw-in,,,
3265c261-c5c3-4100-b76d-14886129de49,2287,2,00:13:24.854,58,24,2,Ball Recovery,111,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,,5213,Gerard Piqué Bernabéu,3,Right Center Back,10.0,54.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6cec685d-bdba-4ae0-8ee3-fb60db4fa7d9,2288,2,00:13:24.854,58,24,43,Carry,111,217,Barcelona,1,Regular Play,217,Barcelona,7.3144,,3265c261-c5c3-4100-b76d-14886129de49,5213,Gerard Piqué Bernabéu,3,Right Center Back,10.0,54.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3ca927c8-9a41-4669-a021-8c9a3719b4d0,13.1,73.6,,,,,,,,,,,,,,,,,,,,,,,,,,
3ca927c8-9a41-4669-a021-8c9a3719b4d0,2289,2,00:13:32.169,58,32,30,Pass,111,217,Barcelona,1,Regular Play,217,Barcelona,2.331653,,588d6d9a-4816-4919-9a4c-e8cdbc28f673,5213,Gerard Piqué Bernabéu,3,Right Center Back,13.1,73.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5246.0,Luis Alberto Suárez Díaz,38.751644,-0.051633652,3.0,High Pass,51.8,71.6,40.0,Right Foot,,,,,,,,,,,,,,,,
552276e2-0b7f-4a3f-babd-39c684275008,2290,2,00:13:33.781,58,33,17,Pressure,111,217,Barcelona,1,Regular Play,220,Real Madrid,2.810486,,01367b23-4947-4fd3-b727-b64be5e48957,5201,Sergio Ramos García,5,Left Center Back,66.3,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588d6d9a-4816-4919-9a4c-e8cdbc28f673,,,,,,,,,,,,,996c90c9-4ec0-4025-8b34-6a92e664b9f1,,,,,,,,,,,,,,,
588d6d9a-4816-4919-9a4c-e8cdbc28f673,2291,2,00:13:34.500,58,34,42,Ball Receipt*,111,217,Barcelona,1,Regular Play,217,Barcelona,,,3ca927c8-9a41-4669-a021-8c9a3719b4d0,5246,Luis Alberto Suárez Díaz,17,Right Wing,51.8,71.6,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552276e2-0b7f-4a3f-babd-39c684275008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01367b23-4947-4fd3-b727-b64be5e48957,2292,2,00:13:34.500,58,34,43,Carry,111,217,Barcelona,1,Regular Play,217,Barcelona,1.945226,,552276e2-0b7f-4a3f-babd-39c684275008,5246,Luis Alberto Suárez Díaz,17,Right Wing,51.8,71.6,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588d6d9a-4816-4919-9a4c-e8cdbc28f673,62.4,77.0,,,,,,,,,,,996c90c9-4ec0-4025-8b34-6a92e664b9f1,,,,,,,,,,,,,,,
996c90c9-4ec0-4025-8b34-6a92e664b9f1,2293,2,00:13:36.446,58,36,38,Miscontrol,111,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,552276e2-0b7f-4a3f-babd-39c684275008,5246,Luis Alberto Suárez Díaz,17,Right Wing,62.4,77.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40096940-22f0-47d1-b46e-ffb1abc626ef,2294,2,00:13:37.457,58,37,2,Ball Recovery,111,217,Barcelona,1,Regular Play,220,Real Madrid,0.0,,,5201,Sergio Ramos García,5,Left Center Back,56.7,3.1,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
c0417a45-b516-4948-b1b6-c3efb332efc8,2295,2,00:13:49.776,58,49,30,Pass,112,217,Barcelona,4,From Throw In,217,Barcelona,1.385666,,c9f9cec3-1510-4c04-834f-8c8c1d625fc1,4324,Daniel Alves da Silva,2,Right Back,63.4,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,11.314592,-2.3436952,2.0,Low Pass,55.5,71.9,,,,,,,,,,,,,,67.0,Throw-in,,,
c9f9cec3-1510-4c04-834f-8c8c1d625fc1,2296,2,00:13:51.161,58,51,42,Ball Receipt*,112,217,Barcelona,4,From Throw In,217,Barcelona,,,c0417a45-b516-4948-b1b6-c3efb332efc8,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,55.5,71.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e4239517-f465-4fdc-bd9c-d9121d3514cf,2297,2,00:13:51.161,58,51,43,Carry,112,217,Barcelona,4,From Throw In,217,Barcelona,0.495934,,c9f9cec3-1510-4c04-834f-8c8c1d625fc1,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,55.5,71.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fe9389c7-5a22-486e-a192-19165cde758b,55.5,71.9,,,,,,,,,,,,,,,,,,,,,,,,,,
fe9389c7-5a22-486e-a192-19165cde758b,2298,2,00:13:51.657,58,51,30,Pass,112,217,Barcelona,4,From Throw In,217,Barcelona,0.738835,,e0fd50dd-9e48-4c45-a22c-fefb251a429e,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,55.5,71.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4324.0,Daniel Alves da Silva,6.395311,1.3979357,1.0,Ground Pass,56.6,78.2,38.0,Left Foot,,,,,,,,,,,,,,,,
e0fd50dd-9e48-4c45-a22c-fefb251a429e,2299,2,00:13:52.396,58,52,42,Ball Receipt*,112,217,Barcelona,4,From Throw In,217,Barcelona,,,fe9389c7-5a22-486e-a192-19165cde758b,4324,Daniel Alves da Silva,2,Right Back,56.6,78.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bc66fa9d-1aab-4822-bd24-8a0be8807428,2300,2,00:13:52.396,58,52,43,Carry,112,217,Barcelona,4,From Throw In,217,Barcelona,1.455165,,2f38cba6-6046-48bb-a507-1cf613fbc0d3,4324,Daniel Alves da Silva,2,Right Back,56.6,78.2,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7ba06168-589e-4522-a17b-30b2a59929d9,55.0,77.3,,,,,,,,,,,e0fd50dd-9e48-4c45-a22c-fefb251a429e,,,,,,,,,,,,,,,
7ba06168-589e-4522-a17b-30b2a59929d9,2301,2,00:13:53.175,58,53,17,Pressure,112,217,Barcelona,4,From Throw In,220,Real Madrid,0.665422,,bc66fa9d-1aab-4822-bd24-8a0be8807428,5574,Toni Kroos,15,Left Center Midfield,64.3,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2f38cba6-6046-48bb-a507-1cf613fbc0d3,2302,2,00:13:53.851,58,53,30,Pass,112,217,Barcelona,4,From Throw In,217,Barcelona,1.114952,,de5d6614-ea41-46ab-baf8-de88c93d2261,4324,Daniel Alves da Silva,2,Right Back,55.0,77.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,7.816009,-1.6348113,1.0,Ground Pass,54.5,69.5,40.0,Right Foot,,,,,,,,,,,,,,,True,
de5d6614-ea41-46ab-baf8-de88c93d2261,2303,2,00:13:54.299,58,54,42,Ball Receipt*,112,217,Barcelona,4,From Throw In,217,Barcelona,,,2f38cba6-6046-48bb-a507-1cf613fbc0d3,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,54.5,69.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ba117788-6da4-41d7-a0bd-ad4d8494e9c4,2304,2,00:13:54.299,58,54,43,Carry,112,217,Barcelona,4,From Throw In,217,Barcelona,0.9786,,16bac34a-18d8-4d7a-880b-abf4a4aed838,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,54.5,69.5,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bc5f42b8-1bde-4d7d-b6bb-195574ab5dc4,55.2,68.5,,,,,,,,,,,de5d6614-ea41-46ab-baf8-de88c93d2261,,,,,,,,,,,,,,,
bc5f42b8-1bde-4d7d-b6bb-195574ab5dc4,2305,2,00:13:54.299,58,54,6,Block,112,217,Barcelona,4,From Throw In,220,Real Madrid,0.0,,ba117788-6da4-41d7-a0bd-ad4d8494e9c4,5574,Toni Kroos,15,Left Center Midfield,65.9,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
16bac34a-18d8-4d7a-880b-abf4a4aed838,2306,2,00:13:55.277,58,55,30,Pass,112,217,Barcelona,4,From Throw In,217,Barcelona,0.673923,,6cf2970e-50a5-45b7-bb7e-de1e0fe8ec97,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,55.2,68.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5203.0,Sergio Busquets i Burgos,7.169379,-2.6155262,1.0,Ground Pass,49.0,64.9,40.0,Right Foot,,,,,,,,,,,,,,,,
6cf2970e-50a5-45b7-bb7e-de1e0fe8ec97,2307,2,00:13:55.951,58,55,42,Ball Receipt*,112,217,Barcelona,4,From Throw In,217,Barcelona,,,16bac34a-18d8-4d7a-880b-abf4a4aed838,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,49.0,64.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef8be596-1c4f-43d1-b4a3-91d8f0564b11,2308,2,00:13:55.951,58,55,43,Carry,112,217,Barcelona,4,From Throw In,217,Barcelona,0.449577,,6cf2970e-50a5-45b7-bb7e-de1e0fe8ec97,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,49.0,64.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defc87d2-4da2-4e07-87a9-6b9ddede890a,49.0,64.9,,,,,,,,,,,,,,,,,,,,,,,,,,
defc87d2-4da2-4e07-87a9-6b9ddede890a,2309,2,00:13:56.401,58,56,30,Pass,112,217,Barcelona,4,From Throw In,217,Barcelona,1.952982,,6407ad56-84d3-4629-89c4-836128cae378,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,49.0,64.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5213.0,Gerard Piqué Bernabéu,14.71224,3.100799,1.0,Ground Pass,34.3,65.5,40.0,Right Foot,,,,,,,,,,,,,,,,
6407ad56-84d3-4629-89c4-836128cae378,2310,2,00:13:58.354,58,58,42,Ball Receipt*,112,217,Barcelona,4,From Throw In,217,Barcelona,,,defc87d2-4da2-4e07-87a9-6b9ddede890a,5213,Gerard Piqué Bernabéu,3,Right Center Back,34.3,65.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51821ab1-2cd6-4886-9a7c-2654353128c5,2311,2,00:13:58.354,58,58,30,Pass,112,217,Barcelona,4,From Throw In,217,Barcelona,1.829,,73607429-6f09-4a07-a3c9-5daede837fbc,5213,Gerard Piqué Bernabéu,3,Right Center Back,33.1,65.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5506.0,Javier Alejandro Mascherano,27.30293,-1.5561453,1.0,Ground Pass,33.5,38.4,40.0,Right Foot,,,,,,,,,,,,,,,,
73607429-6f09-4a07-a3c9-5daede837fbc,2312,2,00:14:00.183,59,0,42,Ball Receipt*,112,217,Barcelona,4,From Throw In,217,Barcelona,,,51821ab1-2cd6-4886-9a7c-2654353128c5,5506,Javier Alejandro Mascherano,5,Left Center Back,33.5,38.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7826e3ac-d1d4-4524-80bd-9003f289213f,2313,2,00:14:00.183,59,0,43,Carry,112,217,Barcelona,4,From Throw In,217,Barcelona,5.9483,,5afdc910-a42b-45e4-8313-4a0f8f599dc3,5506,Javier Alejandro Mascherano,5,Left Center Back,33.5,38.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73607429-6f09-4a07-a3c9-5daede837fbc,63.0,34.6,,,,,,,,,,,,,,,,,,,,,,,,,,
5afdc910-a42b-45e4-8313-4a0f8f599dc3,2314,2,00:14:06.131,59,6,30,Pass,112,217,Barcelona,4,From Throw In,217,Barcelona,1.210474,,e9becba4-8a27-44b0-a4ca-ffdbfb156153,5506,Javier Alejandro Mascherano,5,Left Center Back,63.0,34.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4324.0,Daniel Alves da Silva,22.949074,1.5053875,1.0,Ground Pass,64.5,57.5,40.0,Right Foot,,,,,,,,,,,,,,,,
e9becba4-8a27-44b0-a4ca-ffdbfb156153,2315,2,00:14:07.341,59,7,42,Ball Receipt*,112,217,Barcelona,4,From Throw In,217,Barcelona,,,5afdc910-a42b-45e4-8313-4a0f8f599dc3,4324,Daniel Alves da Silva,2,Right Back,64.5,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88790d37-408b-40db-9957-d7adfab18128,2316,2,00:14:07.341,59,7,43,Carry,112,217,Barcelona,4,From Throw In,217,Barcelona,3.867352,,79db86e2-11a9-4c8c-b235-1209e060463b,4324,Daniel Alves da Silva,2,Right Back,64.5,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e9becba4-8a27-44b0-a4ca-ffdbfb156153,86.1,60.9,,,,,,,,,,,,,,,,,,,,,,,,,,
79db86e2-11a9-4c8c-b235-1209e060463b,2317,2,00:14:11.209,59,11,30,Pass,112,217,Barcelona,4,From Throw In,217,Barcelona,1.2119,,be088eb0-f3bb-4eff-98cf-fa36ef0294ec,4324,Daniel Alves da Silva,2,Right Back,86.1,60.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5470.0,Ivan Rakitić,11.800424,1.8630648,1.0,Ground Pass,82.7,72.2,38.0,Left Foot,,,,,,,,,,,,,,,,
be088eb0-f3bb-4eff-98cf-fa36ef0294ec,2318,2,00:14:12.421,59,12,42,Ball Receipt*,112,217,Barcelona,4,From Throw In,217,Barcelona,,,79db86e2-11a9-4c8c-b235-1209e060463b,5470,Ivan Rakitić,13,Right Center Midfield,82.7,72.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b114c0f3-a5b4-4592-9d60-88ba21bc9f09,2319,2,00:14:12.421,59,12,43,Carry,112,217,Barcelona,4,From Throw In,217,Barcelona,1.000816,,7b44d06d-92da-417e-9d55-36f97389ccfb,5470,Ivan Rakitić,13,Right Center Midfield,82.7,72.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,be088eb0-f3bb-4eff-98cf-fa36ef0294ec,82.7,72.2,,,,,,,,,,,,,,,,,,,,,,,,,,
7b44d06d-92da-417e-9d55-36f97389ccfb,2320,2,00:14:13.421,59,13,30,Pass,112,217,Barcelona,4,From Throw In,217,Barcelona,1.355157,,6388c894-fcf9-4b83-b2a0-bfd2a4977a26,5470,Ivan Rakitić,13,Right Center Midfield,82.7,72.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,21.92373,-2.0038412,1.0,Ground Pass,73.5,52.3,40.0,Right Foot,,,,,,,,,,,,,,,,
6388c894-fcf9-4b83-b2a0-bfd2a4977a26,2321,2,00:14:14.777,59,14,42,Ball Receipt*,112,217,Barcelona,4,From Throw In,217,Barcelona,,,7b44d06d-92da-417e-9d55-36f97389ccfb,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,73.5,52.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0fead715-0f3c-490c-939f-7cceeee4175e,2322,2,00:14:14.777,59,14,43,Carry,112,217,Barcelona,4,From Throw In,217,Barcelona,1.300241,,6388c894-fcf9-4b83-b2a0-bfd2a4977a26,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,73.5,52.3,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ad2ede33-ed50-4925-a165-4bfb5e52ffcf,72.5,48.0,,,,,,,,,,,b309fa47-6b1b-403c-ae2b-f74c50925619,,,,,,,,,,,,,,,
