id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,ball_receipt,under_pressure,duel,clearance,counterpress,dribble,shot,goalkeeper,interception,foul_committed,foul_won,ball_recovery,out,miscontrol,block,substitution,pass,related_events,pass_switch,pass_outcome_id,pass_outcome_name,related_events_1,carry_end_location_0,carry_end_location_1,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,related_events_2,dribble_overrun,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,ball_recovery_recovery_failure,pass_cross,pass_aerial_won,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_punched_out,related_events_3,foul_won_defensive,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_first_time,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,pass_technique_id,pass_technique_name,pass_inswinging,foul_committed_card_id,foul_committed_card_name,block_offensive,clearance_body_part_id,clearance_body_part_name,clearance_head,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,shot_freeze_frame_14_location_0,shot_freeze_frame_14_location_1,shot_freeze_frame_14_player_id,shot_freeze_frame_14_player_name,shot_freeze_frame_14_position_id,shot_freeze_frame_14_position_name,shot_freeze_frame_14_teammate,shot_freeze_frame_15_location_0,shot_freeze_frame_15_location_1,shot_freeze_frame_15_player_id,shot_freeze_frame_15_player_name,shot_freeze_frame_15_position_id,shot_freeze_frame_15_position_name,shot_freeze_frame_15_teammate,shot_freeze_frame_16_location_0,shot_freeze_frame_16_location_1,shot_freeze_frame_16_player_id,shot_freeze_frame_16_player_name,shot_freeze_frame_16_position_id,shot_freeze_frame_16_position_name,shot_freeze_frame_16_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,clearance_left_foot
7d11aa65-d680-4f90-b119-7c5f14ed3489,44,1,00:01:46.265,1,46,30,Pass,5,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.734712,,71ade79d-c197-4b07-bad2-4af2a5dd5d61,True,11542,Javier Guerra Rodríguez,23,Center Forward,61.0,40.1,6852.0,Jozabed Sánchez Ruiz,1.5811388,-1.8925469,1.0,Ground Pass,60.5,38.6,40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71ade79d-c197-4b07-bad2-4af2a5dd5d61,45,1,00:01:47.000,1,47,42,Ball Receipt*,5,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,7d11aa65-d680-4f90-b119-7c5f14ed3489,,6852,Jozabed Sánchez Ruiz,19,Center Attacking Midfield,60.5,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2e102a06-6710-4b1c-8905-5b10779027e1,46,1,00:01:47.731,1,47,30,Pass,5,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,3.935855,,,True,6852,Jozabed Sánchez Ruiz,19,Center Attacking Midfield,59.9,39.8,,,42.735115,1.2246243,3.0,High Pass,74.4,80.0,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,True,75.0,Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102dd783-5edc-4eff-a16b-432af54ff877,52,1,00:02:22.494,2,22,30,Pass,7,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,1.097701,,78e70ecc-2033-483f-b793-b138cf6877a7,,6713,Diego Javier Llorente Ríos,3,Right Center Back,27.7,69.2,26607.0,José Raúl Baena Urdiales,15.825612,-1.5138958,1.0,Ground Pass,28.6,53.4,40.0,Right Foot,62.0,Free Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78e70ecc-2033-483f-b793-b138cf6877a7,53,1,00:02:23.592,2,23,42,Ball Receipt*,7,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,102dd783-5edc-4eff-a16b-432af54ff877,,26607,José Raúl Baena Urdiales,11,Left Defensive Midfield,28.6,53.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ca5e1aa-f128-4642-865b-6ad42d038f20,54,1,00:02:23.592,2,23,43,Carry,7,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,2.577834,,78e70ecc-2033-483f-b793-b138cf6877a7,,26607,José Raúl Baena Urdiales,11,Left Defensive Midfield,28.6,53.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7ba39bd9-ef53-4f87-9a70-baf915c3ffed,37.0,52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7ba39bd9-ef53-4f87-9a70-baf915c3ffed,55,1,00:02:26.170,2,26,30,Pass,7,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,1.28047,,26016a5f-1479-4885-9871-f019039b6a6f,,26607,José Raúl Baena Urdiales,11,Left Defensive Midfield,37.0,52.7,27144.0,Antonio Amaya Carazo,16.807438,-1.7623576,1.0,Ground Pass,33.8,36.2,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26016a5f-1479-4885-9871-f019039b6a6f,56,1,00:02:27.450,2,27,42,Ball Receipt*,7,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,7ba39bd9-ef53-4f87-9a70-baf915c3ffed,,27144,Antonio Amaya Carazo,5,Left Center Back,33.8,36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3535ff79-b2b8-4073-a937-9fdada869ab3,57,1,00:02:27.450,2,27,43,Carry,7,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,0.574462,,16dd5d16-08bb-4493-8d45-7256add0b8b4,,27144,Antonio Amaya Carazo,5,Left Center Back,33.8,36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26016a5f-1479-4885-9871-f019039b6a6f,33.8,36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16dd5d16-08bb-4493-8d45-7256add0b8b4,58,1,00:02:28.025,2,28,30,Pass,7,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,1.316481,,b8779c1f-9489-4409-bb3a-556c188c42e2,,27144,Antonio Amaya Carazo,5,Left Center Back,33.8,36.2,11298.0,José Ignacio Martínez García,36.513695,-0.9546856,1.0,Ground Pass,54.9,6.4,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8779c1f-9489-4409-bb3a-556c188c42e2,59,1,00:02:29.341,2,29,42,Ball Receipt*,7,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,16dd5d16-08bb-4493-8d45-7256add0b8b4,,11298,José Ignacio Martínez García,6,Left Back,54.9,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aee6f6e7-41c3-4dbc-b88f-5be2db119c83,60,1,00:02:29.341,2,29,43,Carry,7,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,0.239999,,0cf972f3-800f-4fc7-9d36-a220f311fcbd,,11298,José Ignacio Martínez García,6,Left Back,54.9,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b8779c1f-9489-4409-bb3a-556c188c42e2,54.9,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0cf972f3-800f-4fc7-9d36-a220f311fcbd,61,1,00:02:29.581,2,29,30,Pass,7,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,1.533047,,3c12e580-59f8-4afe-99eb-d8ac124e3fb0,,11298,José Ignacio Martínez García,6,Left Back,54.9,6.4,4711.0,Pablo Hernández Domínguez,21.709215,0.7756265,1.0,Ground Pass,70.4,21.6,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,5b5aa78d-2eb6-4f25-b254-7f0f2aee0235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b5aa78d-2eb6-4f25-b254-7f0f2aee0235,62,1,00:02:31.114,2,31,42,Ball Receipt*,7,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,0cf972f3-800f-4fc7-9d36-a220f311fcbd,,4711,Pablo Hernández Domínguez,21,Left Wing,68.4,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81db2f75-e052-49e4-a4a9-5a55a48c0e9c,69,1,00:02:33.155,2,33,10,Interception,9,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,0371a924-c4da-4a8e-ad5a-000d3b9c0671,,26607,José Raúl Baena Urdiales,11,Left Defensive Midfield,52.5,26.2,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,4.0,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d83e3246-e9ef-491f-84ec-6ba0d056ffc2,70,1,00:02:33.155,2,33,43,Carry,9,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.882527,,81db2f75-e052-49e4-a4a9-5a55a48c0e9c,,26607,José Raúl Baena Urdiales,11,Left Defensive Midfield,52.5,26.2,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,d3499e68-0cef-40c1-93e4-be74efe5ec80,48.6,24.2,,,,,e2b34285-9eae-42d7-9e08-bf15688836de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3499e68-0cef-40c1-93e4-be74efe5ec80,71,1,00:02:33.983,2,33,17,Pressure,9,360,Rayo Vallecano,1,Regular Play,215,Athletic Club,0.06788,,d83e3246-e9ef-491f-84ec-6ba0d056ffc2,,6393,Iñaki Williams Arthuer,17,Right Wing,68.6,58.4,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,e2b34285-9eae-42d7-9e08-bf15688836de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2b34285-9eae-42d7-9e08-bf15688836de,72,1,00:02:34.038,2,34,30,Pass,9,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.734007,,4e274771-309d-4d62-a6fe-efb72872a4b6,,26607,José Raúl Baena Urdiales,11,Left Defensive Midfield,48.6,24.2,27144.0,Antonio Amaya Carazo,7.8339005,-2.896614,1.0,Ground Pass,41.0,22.3,40.0,Right Foot,,,,,True,,,,,,,,,,,,,,,,,,,,d3499e68-0cef-40c1-93e4-be74efe5ec80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4e274771-309d-4d62-a6fe-efb72872a4b6,73,1,00:02:34.772,2,34,42,Ball Receipt*,9,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,e2b34285-9eae-42d7-9e08-bf15688836de,,27144,Antonio Amaya Carazo,5,Left Center Back,41.0,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66894c21-1976-4666-b750-5fd2bf1ca4ae,74,1,00:02:34.772,2,34,30,Pass,9,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.840614,,7c9f59ce-68cd-4fb1-8aa4-6c483be31120,,27144,Antonio Amaya Carazo,5,Left Center Back,41.0,22.3,11298.0,José Ignacio Martínez García,11.985408,-1.3521274,1.0,Ground Pass,43.6,10.6,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7c9f59ce-68cd-4fb1-8aa4-6c483be31120,75,1,00:02:35.612,2,35,42,Ball Receipt*,9,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,66894c21-1976-4666-b750-5fd2bf1ca4ae,,11298,José Ignacio Martínez García,6,Left Back,43.6,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7b6ecb10-d6ca-46ff-a8e2-c2e891d61f7f,76,1,00:02:35.612,2,35,43,Carry,9,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.048944,,5ca4eab8-3ce7-407d-bb7e-45cedd894f26,,11298,José Ignacio Martínez García,6,Left Back,43.6,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7c9f59ce-68cd-4fb1-8aa4-6c483be31120,43.6,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ca4eab8-3ce7-407d-bb7e-45cedd894f26,77,1,00:02:36.661,2,36,30,Pass,9,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,2.691539,,4e77a608-87df-48b8-8769-03cf08994e0c,,11298,José Ignacio Martínez García,6,Left Back,43.6,10.6,11542.0,Javier Guerra Rodríguez,43.611122,-0.11951999,3.0,High Pass,86.9,5.4,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,7b87c569-023f-4b74-9dd9-23bbf1fa8050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7b87c569-023f-4b74-9dd9-23bbf1fa8050,78,1,00:02:39.353,2,39,42,Ball Receipt*,9,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,5ca4eab8-3ce7-407d-bb7e-45cedd894f26,,11542,Javier Guerra Rodríguez,23,Center Forward,83.9,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2a5afc8-e231-41cc-806a-4f7cdab2ea1e,86,1,00:02:46.269,2,46,2,Ball Recovery,11,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,68b49bc9-4435-49f3-8a38-ee993bc20e91,,24255,Juan Carlos Martín Corral,1,Goalkeeper,16.4,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b37da4d5-02ff-4748-8df9-326409071abd,87,1,00:02:46.269,2,46,43,Carry,11,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,14.188989,,d2a5afc8-e231-41cc-806a-4f7cdab2ea1e,,24255,Juan Carlos Martín Corral,1,Goalkeeper,16.4,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f1ece0db-3a92-4b13-93e5-e2c1baf2fd42,14.8,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1ece0db-3a92-4b13-93e5-e2c1baf2fd42,88,1,00:03:00.458,3,0,30,Pass,11,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.530005,,8629c47b-bdf2-4ae7-a7b0-0e7f735e6400,,24255,Juan Carlos Martín Corral,1,Goalkeeper,14.8,25.2,27144.0,Antonio Amaya Carazo,17.477413,-0.8826514,1.0,Ground Pass,25.9,11.7,69.0,Keeper Arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8629c47b-bdf2-4ae7-a7b0-0e7f735e6400,89,1,00:03:01.988,3,1,42,Ball Receipt*,11,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,f1ece0db-3a92-4b13-93e5-e2c1baf2fd42,,27144,Antonio Amaya Carazo,5,Left Center Back,25.9,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
