id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,clearance,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,counterpress,duel,dribble,shot,interception,out,50_50,ball_recovery,foul_committed,foul_won,block,bad_behaviour,substitution,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,goalkeeper,related_events_1,related_events_2,carry_end_location_0,carry_end_location_1,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,pass_switch,pass_assisted_shot_id,pass_shot_assist,pass_through_ball,pass_technique_id,pass_technique_name,shot_one_on_one,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,goalkeeper_body_part_id,goalkeeper_body_part_name,related_events_3,player,position,location
454afc1a-271d-4945-99b6-941edee1e05f,3438,2,00:46:47.694,91,47,30,Pass,205,217,Barcelona,4,From Throw In,217,Barcelona,1.2112,,08c171be-da49-434d-8913-44d17a9bee68,,5503.0,Lionel Andrés Messi Cuccittini,24.0,Left Center Forward,40.9,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,20131.0,Xavier Hernández Creus,14.21267,-1.5285679,2.0,Low Pass,41.5,65.8,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08c171be-da49-434d-8913-44d17a9bee68,3439,2,00:46:48.905,91,48,42,Ball Receipt*,205,217,Barcelona,4,From Throw In,217,Barcelona,,,454afc1a-271d-4945-99b6-941edee1e05f,,20131.0,Xavier Hernández Creus,7.0,Right Wing Back,41.5,65.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc78cef8-0348-4349-b962-797bc170ef95,3440,2,00:46:48.905,91,48,43,Carry,205,217,Barcelona,4,From Throw In,217,Barcelona,1.0593,,08c171be-da49-434d-8913-44d17a9bee68,,20131.0,Xavier Hernández Creus,7.0,Right Wing Back,41.5,65.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e6132138-e6e9-427e-999b-c4eb42a0ed0e,,41.5,65.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6132138-e6e9-427e-999b-c4eb42a0ed0e,3441,2,00:46:49.965,91,49,30,Pass,205,217,Barcelona,4,From Throw In,217,Barcelona,1.3129,,be4fb668-604f-4557-9f8d-289e829b11f2,,20131.0,Xavier Hernández Creus,7.0,Right Wing Back,41.5,65.6,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,14.153445,0.82537687,1.0,Ground Pass,51.1,76.0,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fd3c9d9-e632-409c-b888-e6befd410188,3442,2,00:46:50.290,91,50,17,Pressure,205,217,Barcelona,4,From Throw In,360,Rayo Vallecano,5.256486,,0a54d768-eff1-4504-8a7a-5d5c75348c1e,,27153.0,Javier Ignacio Aquino Carmona,16.0,Left Midfield,75.4,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,be3d783f-7be3-4336-948a-4d8a03ecc40c,be4fb668-604f-4557-9f8d-289e829b11f2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be4fb668-604f-4557-9f8d-289e829b11f2,3443,2,00:46:51.278,91,51,42,Ball Receipt*,205,217,Barcelona,4,From Throw In,217,Barcelona,,,5fd3c9d9-e632-409c-b888-e6befd410188,,5503.0,Lionel Andrés Messi Cuccittini,24.0,Left Center Forward,51.1,76.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e6132138-e6e9-427e-999b-c4eb42a0ed0e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be3d783f-7be3-4336-948a-4d8a03ecc40c,3444,2,00:46:51.278,91,51,43,Carry,205,217,Barcelona,4,From Throw In,217,Barcelona,4.0994,,0a54d768-eff1-4504-8a7a-5d5c75348c1e,,5503.0,Lionel Andrés Messi Cuccittini,24.0,Left Center Forward,51.1,76.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fd3c9d9-e632-409c-b888-e6befd410188,be4fb668-604f-4557-9f8d-289e829b11f2,47.4,63.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0a54d768-eff1-4504-8a7a-5d5c75348c1e,3445,2,00:46:55.377,91,55,30,Pass,205,217,Barcelona,4,From Throw In,217,Barcelona,3.5916,,5fd3c9d9-e632-409c-b888-e6befd410188,,5503.0,Lionel Andrés Messi Cuccittini,24.0,Left Center Forward,47.4,63.3,,,True,,,,,,,,,,,,,,,,,,,,,,,,10609.0,Jérémy Mathieu,54.186806,-1.4114121,3.0,High Pass,56.0,9.8,,,40.0,Right Foot,,a18f904d-14eb-44eb-9d4a-c171ff73f74d,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a18f904d-14eb-44eb-9d4a-c171ff73f74d,3446,2,00:46:58.969,91,58,42,Ball Receipt*,205,217,Barcelona,4,From Throw In,217,Barcelona,,,0a54d768-eff1-4504-8a7a-5d5c75348c1e,,10609.0,Jérémy Mathieu,5.0,Left Center Back,56.0,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
059e1700-b7ec-4f14-86a9-6a6a2fda27c3,3447,2,00:46:58.969,91,58,43,Carry,205,217,Barcelona,4,From Throw In,217,Barcelona,0.7816,,546a74fd-4808-44aa-a664-115b56520bfa,,10609.0,Jérémy Mathieu,5.0,Left Center Back,56.0,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a18f904d-14eb-44eb-9d4a-c171ff73f74d,,56.0,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546a74fd-4808-44aa-a664-115b56520bfa,3448,2,00:46:59.750,91,59,30,Pass,205,217,Barcelona,4,From Throw In,217,Barcelona,1.2287,,e6fcec51-7ecd-404c-b89c-000dece02729,,10609.0,Jérémy Mathieu,5.0,Left Center Back,56.0,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,3958.0,Pedro Eliezer Rodríguez Ledesma,14.578408,-0.32825807,1.0,Ground Pass,69.8,5.1,,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6fcec51-7ecd-404c-b89c-000dece02729,3449,2,00:47:00.979,92,0,42,Ball Receipt*,205,217,Barcelona,4,From Throw In,217,Barcelona,,,546a74fd-4808-44aa-a664-115b56520bfa,,3958.0,Pedro Eliezer Rodríguez Ledesma,15.0,Left Center Midfield,69.8,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b63642b1-6a44-4e7c-8b70-328d539c4ab3,3450,2,00:47:00.979,92,0,43,Carry,205,217,Barcelona,4,From Throw In,217,Barcelona,1.87,,e4ee93a2-8a4d-4239-96fc-69836922a224,,3958.0,Pedro Eliezer Rodríguez Ledesma,15.0,Left Center Midfield,69.8,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e6fcec51-7ecd-404c-b89c-000dece02729,,80.1,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e4ee93a2-8a4d-4239-96fc-69836922a224,3451,2,00:47:02.849,92,2,30,Pass,205,217,Barcelona,4,From Throw In,217,Barcelona,1.2939,,e0569405-bf8e-40ea-9288-73a4675940be,,3958.0,Pedro Eliezer Rodríguez Ledesma,15.0,Left Center Midfield,80.1,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,5470.0,Ivan Rakitić,11.727745,1.7681919,1.0,Ground Pass,77.8,20.3,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e0569405-bf8e-40ea-9288-73a4675940be,3452,2,00:47:04.143,92,4,42,Ball Receipt*,205,217,Barcelona,4,From Throw In,217,Barcelona,,,e4ee93a2-8a4d-4239-96fc-69836922a224,,5470.0,Ivan Rakitić,10.0,Center Defensive Midfield,77.8,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8128cfb2-27c7-4a52-9696-e7efb223ae27,3453,2,00:47:04.143,92,4,43,Carry,205,217,Barcelona,4,From Throw In,217,Barcelona,1.4584,,9656dad6-d7e3-4b66-8845-2130c01ee081,,5470.0,Ivan Rakitić,10.0,Center Defensive Midfield,77.8,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e0569405-bf8e-40ea-9288-73a4675940be,,78.4,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9656dad6-d7e3-4b66-8845-2130c01ee081,3454,2,00:47:05.601,92,5,30,Pass,205,217,Barcelona,4,From Throw In,217,Barcelona,0.8522,,fbe06025-6935-4eb1-9f52-b2d32809236a,,5470.0,Ivan Rakitić,10.0,Center Defensive Midfield,78.4,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,6998.0,Rafael Alcântara do Nascimento,9.780082,1.2910922,1.0,Ground Pass,81.1,31.5,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbe06025-6935-4eb1-9f52-b2d32809236a,3455,2,00:47:06.453,92,6,42,Ball Receipt*,205,217,Barcelona,4,From Throw In,217,Barcelona,,,9656dad6-d7e3-4b66-8845-2130c01ee081,,6998.0,Rafael Alcântara do Nascimento,13.0,Right Center Midfield,81.1,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
