id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,counterpress,clearance,duel,dribble,interception,out,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,foul_won,off_camera,foul_committed,50_50,ball_recovery,substitution,bad_behaviour,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,goalkeeper,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,related_events,pass_through_ball,pass_technique_id,pass_technique_name,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,foul_won_defensive,location,interception_outcome_id,interception_outcome_name,related_events_3,related_events_4,dribble_nutmeg,foul_committed_advantage,foul_won_advantage,bad_behaviour_card_id,bad_behaviour_card_name,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,shot_freeze_frame_14_location_0,shot_freeze_frame_14_location_1,shot_freeze_frame_14_player_id,shot_freeze_frame_14_player_name,shot_freeze_frame_14_position_id,shot_freeze_frame_14_position_name,shot_freeze_frame_14_teammate,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location_0,goalkeeper_end_location_1,pass_aerial_won,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_card_id,foul_committed_card_name,related_events_5,related_events_6,related_events_7,shot_first_time
7d9df8a1-8053-414c-8438-3bd6790217fa,1888,2,00:05:08.355,50,8,23,Goal Keeper,97,217,Barcelona,2,From Corner,210,Real Sociedad,0.0,,0901e56d-b182-48f0-b0ff-8cc789080ad0,6694,Gerónimo Rulli,1,Goalkeeper,1.2,39.4,,,,,,,,,,,,45.0,Diving,44.0,Set,26.0,Goal Conceded,55.0,No Touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa2a48ef-98e8-452d-ab2b-0454fddd8616,1916,2,00:07:01.787,52,1,30,Pass,99,217,Barcelona,3,From Free Kick,217,Barcelona,2.526777,,0a66be8d-57dc-48bb-b089-9df442086903,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,11.2,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,5246.0,Luis Alberto Suárez Díaz,54.87167,0.14447437,3.0,High Pass,65.5,53.5,62.0,Free Kick,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0a66be8d-57dc-48bb-b089-9df442086903,1917,2,00:07:04.314,52,4,42,Ball Receipt*,99,217,Barcelona,3,From Free Kick,217,Barcelona,,,aa2a48ef-98e8-452d-ab2b-0454fddd8616,5246,Luis Alberto Suárez Díaz,23,Center Forward,65.5,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed2cf844-3c39-4288-ba25-2448a861b4ff,1918,2,00:07:04.314,52,4,43,Carry,99,217,Barcelona,3,From Free Kick,217,Barcelona,0.242023,,0793ce05-a9ef-447c-ab5f-f25af7c76e95,5246,Luis Alberto Suárez Díaz,23,Center Forward,65.5,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0a66be8d-57dc-48bb-b089-9df442086903,64.3,52.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0793ce05-a9ef-447c-ab5f-f25af7c76e95,1919,2,00:07:04.556,52,4,30,Pass,99,217,Barcelona,3,From Free Kick,217,Barcelona,1.595531,,5a9283ec-440a-4e0e-83f2-f1100ffbf505,5246,Luis Alberto Suárez Díaz,23,Center Forward,64.3,52.4,,,,,,,,,,,,,,,,,,,,,,,,,,,6998.0,Rafael Alcântara do Nascimento,14.91107,2.9731364,2.0,Low Pass,49.6,54.9,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a9283ec-440a-4e0e-83f2-f1100ffbf505,1920,2,00:07:06.152,52,6,42,Ball Receipt*,99,217,Barcelona,3,From Free Kick,217,Barcelona,,,0793ce05-a9ef-447c-ab5f-f25af7c76e95,6998,Rafael Alcântara do Nascimento,13,Right Center Midfield,49.6,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50c2e4ec-e321-4a71-9285-3c1bcffd3755,1921,2,00:07:06.152,52,6,43,Carry,99,217,Barcelona,3,From Free Kick,217,Barcelona,1.088069,,5a9283ec-440a-4e0e-83f2-f1100ffbf505,6998,Rafael Alcântara do Nascimento,13,Right Center Midfield,49.6,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84c49a5d-1467-4aeb-9e1d-55d0b415979d,49.6,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84c49a5d-1467-4aeb-9e1d-55d0b415979d,1922,2,00:07:07.240,52,7,30,Pass,99,217,Barcelona,3,From Free Kick,217,Barcelona,1.109358,,534ff0d7-d86d-45d2-8617-d014cb820758,6998,Rafael Alcântara do Nascimento,13,Right Center Midfield,49.6,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,4324.0,Daniel Alves da Silva,22.451057,1.1969069,1.0,Ground Pass,57.8,75.8,,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534ff0d7-d86d-45d2-8617-d014cb820758,1923,2,00:07:08.349,52,8,42,Ball Receipt*,99,217,Barcelona,3,From Free Kick,217,Barcelona,,,84c49a5d-1467-4aeb-9e1d-55d0b415979d,4324,Daniel Alves da Silva,2,Right Back,57.8,75.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d99f136-68ed-4888-8604-f6be928db759,1924,2,00:07:08.349,52,8,43,Carry,99,217,Barcelona,3,From Free Kick,217,Barcelona,2.107042,,534ff0d7-d86d-45d2-8617-d014cb820758,4324,Daniel Alves da Silva,2,Right Back,57.8,75.8,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79b2d320-cc12-44ae-acd1-2f3f32ee1e6d,64.4,76.6,7dc1a31a-932e-4ce7-8489-533f7e994e75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7dc1a31a-932e-4ce7-8489-533f7e994e75,1925,2,00:07:09.393,52,9,17,Pressure,99,217,Barcelona,3,From Free Kick,210,Real Sociedad,1.4957,,4d99f136-68ed-4888-8604-f6be928db759,6673,Sergio Canales Madrazo,21,Left Wing,62.4,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79b2d320-cc12-44ae-acd1-2f3f32ee1e6d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79b2d320-cc12-44ae-acd1-2f3f32ee1e6d,1926,2,00:07:10.456,52,10,30,Pass,99,217,Barcelona,3,From Free Kick,217,Barcelona,2.53,,5b496e8f-f589-4757-83c1-cd44da52d729,4324,Daniel Alves da Silva,2,Right Back,64.4,76.6,,,True,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,60.03016,-1.316525,3.0,High Pass,79.5,18.5,,,40.0,Right Foot,,7dc1a31a-932e-4ce7-8489-533f7e994e75,,,8dbad5fd-c18b-4ca0-ac66-3f1128569f9c,True,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b496e8f-f589-4757-83c1-cd44da52d729,1927,2,00:07:12.986,52,12,42,Ball Receipt*,99,217,Barcelona,3,From Free Kick,217,Barcelona,,,79b2d320-cc12-44ae-acd1-2f3f32ee1e6d,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,85.8,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8dbad5fd-c18b-4ca0-ac66-3f1128569f9c,1928,2,00:07:12.986,52,12,2,Ball Recovery,99,217,Barcelona,3,From Free Kick,210,Real Sociedad,0.0,,79b2d320-cc12-44ae-acd1-2f3f32ee1e6d,6690,Xabier Prieto Argarate,17,Right Wing,40.6,61.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4746c160-3f57-437c-91eb-6a4c5bbf06d6,1929,2,00:07:12.986,52,12,43,Carry,99,217,Barcelona,3,From Free Kick,210,Real Sociedad,1.673,,8dbad5fd-c18b-4ca0-ac66-3f1128569f9c,6690,Xabier Prieto Argarate,17,Right Wing,40.6,61.6,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c42efbf5-16d8-43ce-b675-abdc3a85e528,48.2,53.8,e7ce9c13-acdc-47c9-b96e-f0679c923961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c42efbf5-16d8-43ce-b675-abdc3a85e528,1930,2,00:07:14.096,52,14,17,Pressure,99,217,Barcelona,3,From Free Kick,217,Barcelona,0.642659,,4746c160-3f57-437c-91eb-6a4c5bbf06d6,20131,Xavier Hernández Creus,15,Left Center Midfield,71.0,31.7,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e7ce9c13-acdc-47c9-b96e-f0679c923961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e7ce9c13-acdc-47c9-b96e-f0679c923961,1931,2,00:07:14.659,52,14,30,Pass,99,217,Barcelona,3,From Free Kick,210,Real Sociedad,1.1617,,c42efbf5-16d8-43ce-b675-abdc3a85e528,6690,Xabier Prieto Argarate,17,Right Wing,48.2,53.8,,,True,,,,,,,,,,,,,,,,,,,,,,,,5560.0,Carlos Alberto Vela Garrido,9.701547,-0.24997862,1.0,Ground Pass,57.6,51.4,,,40.0,Right Foot,,d673fa66-8160-4e53-bd3e-cac7a0b5dba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4020276-f971-457f-929f-816e4e87345c,1932,2,00:07:15.100,52,15,17,Pressure,99,217,Barcelona,3,From Free Kick,217,Barcelona,0.431695,,,22102,Adriano Correia Claro,6,Left Back,62.1,26.6,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d673fa66-8160-4e53-bd3e-cac7a0b5dba4,1933,2,00:07:15.821,52,15,42,Ball Receipt*,99,217,Barcelona,3,From Free Kick,210,Real Sociedad,,,e7ce9c13-acdc-47c9-b96e-f0679c923961,5560,Carlos Alberto Vela Garrido,23,Center Forward,57.6,51.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7e52a988-5ce4-4252-bb1f-35959383e4e1,1934,2,00:07:15.821,52,15,43,Carry,99,217,Barcelona,3,From Free Kick,210,Real Sociedad,1.2805,,c6ff3f8a-d4d9-4d4e-9770-05f96a6d78e7,5560,Carlos Alberto Vela Garrido,23,Center Forward,57.6,51.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d673fa66-8160-4e53-bd3e-cac7a0b5dba4,55.5,41.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6ff3f8a-d4d9-4d4e-9770-05f96a6d78e7,1935,2,00:07:17.101,52,17,30,Pass,99,217,Barcelona,3,From Free Kick,210,Real Sociedad,2.882,,a6148550-c438-4134-b0c3-b76b8c1e9693,5560,Carlos Alberto Vela Garrido,23,Center Forward,55.5,41.9,,,,,,,,,,,,,,,,,,,,,,,,,,,6673.0,Sergio Canales Madrazo,45.03621,-0.33719876,3.0,High Pass,98.0,27.0,,,38.0,Left Foot,,e94d9c30-22eb-4b85-b8cf-e8c79d70a157,,,,,9.0,Incomplete,,,,True,108.0,Through Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6148550-c438-4134-b0c3-b76b8c1e9693,1936,2,00:07:19.983,52,19,42,Ball Receipt*,99,217,Barcelona,3,From Free Kick,210,Real Sociedad,,,c6ff3f8a-d4d9-4d4e-9770-05f96a6d78e7,6673,Sergio Canales Madrazo,21,Left Wing,91.5,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e94d9c30-22eb-4b85-b8cf-e8c79d70a157,1937,2,00:07:19.983,52,19,30,Pass,99,217,Barcelona,3,From Free Kick,217,Barcelona,1.490736,,364fd7e7-8133-480f-ae2c-8e062b1ea631,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,22.1,53.1,,,,,,,,,,,,,,,,,,,,,,,,,,,5506.0,Javier Alejandro Mascherano,23.212282,-0.37490645,2.0,Low Pass,43.7,44.6,66.0,Recovery,40.0,Right Foot,,c6ff3f8a-d4d9-4d4e-9770-05f96a6d78e7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364fd7e7-8133-480f-ae2c-8e062b1ea631,1938,2,00:07:21.474,52,21,42,Ball Receipt*,99,217,Barcelona,3,From Free Kick,217,Barcelona,,,e94d9c30-22eb-4b85-b8cf-e8c79d70a157,5506,Javier Alejandro Mascherano,10,Center Defensive Midfield,43.7,44.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44c4c731-ae9e-41f1-bda6-315af014343d,1939,2,00:07:21.474,52,21,43,Carry,99,217,Barcelona,3,From Free Kick,217,Barcelona,1.786057,,364fd7e7-8133-480f-ae2c-8e062b1ea631,5506,Javier Alejandro Mascherano,10,Center Defensive Midfield,43.7,44.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50d77d5c-85dc-4e9f-b9b1-2b13f6806cdf,45.2,52.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50d77d5c-85dc-4e9f-b9b1-2b13f6806cdf,1940,2,00:07:23.260,52,23,30,Pass,99,217,Barcelona,3,From Free Kick,217,Barcelona,0.934664,,33019fea-5f1a-4f58-804e-30cde4264987,5506,Javier Alejandro Mascherano,10,Center Defensive Midfield,45.2,52.2,,,,,,,,,,,,,,,,,,,,,,,,,,,4324.0,Daniel Alves da Silva,19.334167,1.7265916,1.0,Ground Pass,42.2,71.3,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33019fea-5f1a-4f58-804e-30cde4264987,1941,2,00:07:24.195,52,24,42,Ball Receipt*,99,217,Barcelona,3,From Free Kick,217,Barcelona,,,50d77d5c-85dc-4e9f-b9b1-2b13f6806cdf,4324,Daniel Alves da Silva,2,Right Back,42.2,71.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361da5e8-459e-4096-8137-b89779447e9a,1942,2,00:07:24.195,52,24,43,Carry,99,217,Barcelona,3,From Free Kick,217,Barcelona,2.767443,,33019fea-5f1a-4f58-804e-30cde4264987,4324,Daniel Alves da Silva,2,Right Back,42.2,71.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681c9eae-5939-4f3c-9c76-34b67b4a15ce,57.2,72.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681c9eae-5939-4f3c-9c76-34b67b4a15ce,1943,2,00:07:26.962,52,26,30,Pass,99,217,Barcelona,3,From Free Kick,217,Barcelona,1.08576,,52d53092-c11f-48bf-9159-430a19106872,4324,Daniel Alves da Silva,2,Right Back,57.2,72.8,,,,,,,,,,,,,,,,,,,,,,,,,,,6998.0,Rafael Alcântara do Nascimento,15.482894,-2.069112,1.0,Ground Pass,49.8,59.2,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
