id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,ball_receipt,under_pressure,counterpress,clearance,out,foul_committed,interception,foul_won,dribble,duel,shot,goalkeeper,miscontrol,block,ball_recovery,substitution,bad_behaviour,pass,related_events_1,carry_end_location_0,carry_end_location_1,pass_switch,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,related_events_2,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,related_events,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_head,duel_type_id,duel_type_name,pass_aerial_won,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_goal_assist
bfa37663-098a-4879-822b-c988f8fc7e64,2474,2,00:14:29.652,59,29,30,Pass,123,217,Barcelona,9,From Kick Off,217,Barcelona,0.5779,,407e8f80-5355-4baf-a299-61f0016bb8a0,True,5246,Luis Alberto Suárez Díaz,23,Center Forward,60.0,40.0,20131.0,Xavier Hernández Creus,13.503333,-3.119374,1.0,Ground Pass,46.5,39.7,40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
081c9a1f-7054-4b66-9c55-75dc2b74bd33,2476,2,00:14:30.768,59,30,30,Pass,123,217,Barcelona,9,From Kick Off,217,Barcelona,1.479447,,4a44d751-49de-4504-9564-d68c9c96358b,True,20131,Xavier Hernández Creus,15,Left Center Midfield,46.5,39.4,5470.0,Ivan Rakitić,37.095146,0.49741042,1.0,Ground Pass,79.1,57.1,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714f447a-40b8-4955-b5ea-55124432e61f,2478,2,00:14:33.242,59,33,30,Pass,123,217,Barcelona,9,From Kick Off,217,Barcelona,1.2724,,9d64b135-cf0f-490b-a6f9-6e2f5e40b3ca,,5470,Ivan Rakitić,13,Right Center Midfield,79.1,57.5,4324.0,Daniel Alves da Silva,14.453373,1.7166072,1.0,Ground Pass,77.0,71.8,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0c695a97-af10-47e5-8ca8-3b5ac7c6c702,2481,2,00:14:35.619,59,35,30,Pass,123,217,Barcelona,9,From Kick Off,217,Barcelona,2.5781,,e6e2f042-3307-44c8-8119-d4f4b20bbd43,,4324,Daniel Alves da Silva,2,Right Back,77.0,71.8,4320.0,Neymar da Silva Santos Junior,57.67712,-1.0217538,3.0,High Pass,107.1,22.6,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eed360ec-eea5-4ec5-9fa0-23d5e07cd4e9,2484,2,00:14:39.701,59,39,30,Pass,123,217,Barcelona,9,From Kick Off,217,Barcelona,0.8481,,314c43df-42a0-461e-9e0c-ae73a3dfcc75,,4320,Neymar da Silva Santos Junior,21,Left Wing,109.6,23.9,5503.0,Lionel Andrés Messi Cuccittini,11.543396,1.9062446,1.0,Ground Pass,105.8,34.8,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,10528bc0-2446-4609-8119-7c53efd9edaf,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1353ffe-b941-426c-a81c-6b827a38805f,2541,2,00:15:53.017,60,53,30,Pass,127,217,Barcelona,1,Regular Play,217,Barcelona,2.655,,cc6517e5-e4df-4c4f-b833-1339a6d925c0,,5246,Luis Alberto Suárez Díaz,23,Center Forward,20.5,62.8,20131.0,Xavier Hernández Creus,49.323524,-1.0036006,1.0,Ground Pass,47.0,21.2,40.0,Right Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1d32d744-389d-41ab-9960-e4644890d0f8,2545,2,00:15:55.712,60,55,30,Pass,127,217,Barcelona,1,Regular Play,217,Barcelona,1.0865,,76c99c9e-9c5f-4f89-aef4-f5262c1621e7,,20131,Xavier Hernández Creus,15,Left Center Midfield,48.2,21.8,5503.0,Lionel Andrés Messi Cuccittini,18.755533,1.0642157,1.0,Ground Pass,57.3,38.2,38.0,Left Foot,,,,,True,,,,,,,,,,,,,,,,,a0bd6d27-4705-48e4-8046-60c240b5fbf2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73e9aeef-6cad-4dbc-b858-eab5f08c12a7,2548,2,00:15:58.119,60,58,30,Pass,127,217,Barcelona,1,Regular Play,217,Barcelona,1.767,,c988c39d-c15b-4eff-9b22-66611cfd1cf4,,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,65.7,28.7,4320.0,Neymar da Silva Santos Junior,20.87223,-0.54945785,1.0,Ground Pass,83.5,17.8,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,feb89df9-9518-4e12-a05b-c123ceae8ae7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,
d1d86431-c5fd-4165-ab90-d33f92d225ee,2556,2,00:16:05.123,61,5,30,Pass,127,217,Barcelona,1,Regular Play,217,Barcelona,1.6075,,e4813ed5-2624-44be-9caa-57aafefcd823,,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,63.6,14.0,4320.0,Neymar da Silva Santos Junior,16.349007,-0.32368478,1.0,Ground Pass,79.1,8.8,38.0,Left Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
078e5268-9c90-4d06-81b2-17af0e75f511,2559,2,00:16:07.798,61,7,30,Pass,127,217,Barcelona,1,Regular Play,217,Barcelona,0.8906,,722e5d6d-6e26-4a37-ba50-59aebc66f00e,,4320,Neymar da Silva Santos Junior,21,Left Wing,82.7,12.8,5503.0,Lionel Andrés Messi Cuccittini,12.682665,1.2665004,1.0,Ground Pass,86.5,24.9,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
