id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,ball_receipt,counterpress,interception,duel,dribble,out,clearance,shot,goalkeeper,foul_won,ball_recovery,foul_committed,block,50_50,miscontrol,substitution,pass,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,pass_cross,pass_switch,related_events,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_key_pass_id,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,shot_end_location_2,shot_first_time
3eb3dfed-6750-48bd-9465-564107e3f7e9,2132,2,00:07:06.480,52,6,30,Pass,102,217,Barcelona,9,From Kick Off,217,Barcelona,0.456751,,90d38765-1791-4cf2-9799-efcc78619223,,5246,Luis Alberto Suárez Díaz,23,Center Forward,61.0,40.1,5503.0,Lionel Andrés Messi Cuccittini,0.7,-1.5707964,1.0,Ground Pass,61.0,39.4,40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c8b2d8a3-bb14-4699-908a-b75904eb6b96,2135,2,00:07:07.017,52,7,30,Pass,102,217,Barcelona,9,From Kick Off,217,Barcelona,0.779181,,5243fcb4-afe1-4482-890e-ed8e2a63b51d,,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,61.0,39.4,5203.0,Sergio Busquets i Burgos,8.558621,3.024484,1.0,Ground Pass,52.5,40.4,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16ab98c9-44d4-4643-9fd4-9697109c555b,2138,2,00:07:10.115,52,10,30,Pass,102,217,Barcelona,9,From Kick Off,217,Barcelona,0.603164,,c2b207a2-873b-4454-96a7-e5812d1a7258,,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,55.6,43.3,6998.0,Rafael Alcântara do Nascimento,9.042677,1.3929211,1.0,Ground Pass,57.2,52.2,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4460ecfc-250f-421f-a8fb-1b0ab152e7fe,2141,2,00:07:11.525,52,11,30,Pass,102,217,Barcelona,9,From Kick Off,217,Barcelona,1.535411,,91f82cd2-da17-45c1-8a0a-c22d0c764b4e,,6998,Rafael Alcântara do Nascimento,13,Right Center Midfield,62.3,56.6,4324.0,Daniel Alves da Silva,19.543797,1.2587543,1.0,Ground Pass,68.3,75.2,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
db64d60e-b744-449b-ab67-65940a8fba98,2144,2,00:07:14.952,52,14,30,Pass,102,217,Barcelona,9,From Kick Off,217,Barcelona,1.092063,,1d329abb-dee4-4420-a996-c832f2f284de,,4324,Daniel Alves da Silva,2,Right Back,72.6,75.2,5203.0,Sergio Busquets i Burgos,22.11651,-1.9555008,1.0,Ground Pass,64.3,54.7,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f74c8648-df29-424a-abb7-c37f55a41b55,2147,2,00:07:17.740,52,17,30,Pass,102,217,Barcelona,9,From Kick Off,217,Barcelona,1.801969,,cd17845c-edb4-4bd9-bbc8-699be0b8f0a5,,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,64.6,53.0,5506.0,Javier Alejandro Mascherano,24.9,-1.5707964,1.0,Ground Pass,64.6,28.1,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b7122a9-933f-4634-8178-d0d8e0fb64d5,2150,2,00:07:20.447,52,20,30,Pass,102,217,Barcelona,9,From Kick Off,217,Barcelona,1.293682,,73e94bda-29c8-4c44-af29-bdebf2c6b3a9,,5506,Javier Alejandro Mascherano,5,Left Center Back,64.3,28.0,5211.0,Jordi Alba Ramos,26.321095,-0.9364135,1.0,Ground Pass,79.9,6.8,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9f05941-546f-4e54-a1e5-c400862349d9,2153,2,00:07:22.684,52,22,30,Pass,102,217,Barcelona,9,From Kick Off,217,Barcelona,0.68808,,a0bead4d-d5ab-44d6-97e2-2df9762bce17,,5211,Jordi Alba Ramos,6,Left Back,79.9,6.8,5216.0,Andrés Iniesta Luján,15.01466,0.7288547,1.0,Ground Pass,91.1,16.8,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f5230f7e-2a15-4a62-aa0e-c0d36efd0816,2156,2,00:07:23.452,52,23,30,Pass,102,217,Barcelona,9,From Kick Off,217,Barcelona,0.974777,,10da018d-a9ef-4ee6-b7b7-26b4f0f28a51,,5216,Andrés Iniesta Luján,15,Left Center Midfield,91.1,16.8,4320.0,Neymar da Silva Santos Junior,12.379418,-1.4574629,1.0,Ground Pass,92.5,4.5,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e84689a-2b4d-4672-93c5-bd17029f7425,2159,2,00:07:25.450,52,25,30,Pass,102,217,Barcelona,9,From Kick Off,217,Barcelona,1.000974,,c2da1d2a-09ca-4d0c-91f7-7b1a94f38e6e,,4320,Neymar da Silva Santos Junior,21,Left Wing,92.5,4.5,5211.0,Jordi Alba Ramos,10.841587,2.8899026,1.0,Ground Pass,82.0,7.2,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
