id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,duel,ball_receipt,counterpress,dribble,off_camera,interception,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,out,clearance,foul_committed,50_50,foul_won,ball_recovery,bad_behaviour,substitution,half_end,related_events_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,goalkeeper,related_events_2,carry_end_location_0,carry_end_location_1,dribble_outcome_id,dribble_outcome_name,related_events_3,pass_outcome_id,pass_outcome_name,foul_won_defensive,ball_receipt_outcome_id,ball_receipt_outcome_name,related_events,pass_switch,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,interception_outcome_id,interception_outcome_name,ball_recovery_recovery_failure,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,location,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_technique_id,pass_technique_name,pass_inswinging,clearance_head,pass_cut_back,pass_aerial_won,clearance_right_foot,pass_cross,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,pass_outswinging,shot_freeze_frame_14_location_0,shot_freeze_frame_14_location_1,shot_freeze_frame_14_player_id,shot_freeze_frame_14_player_name,shot_freeze_frame_14_position_id,shot_freeze_frame_14_position_name,shot_freeze_frame_14_teammate,shot_freeze_frame_15_location_0,shot_freeze_frame_15_location_1,shot_freeze_frame_15_player_id,shot_freeze_frame_15_player_name,shot_freeze_frame_15_position_id,shot_freeze_frame_15_position_name,shot_freeze_frame_15_teammate
d4f19865-1592-49f5-b0a2-4c891353eb22,2614,2,00:17:58.153,62,58,23,Goal Keeper,123,217,Barcelona,4,From Throw In,207,Valencia,0.0,,800279c5-2275-469f-b2c3-4836fb731efa,25144,Diego Alves Carreira,1,Goalkeeper,2.0,41.1,,,,,,,,,,,45.0,Diving,44.0,Set,26.0,Goal Conceded,55.0,No Touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0552741d-b0e3-4741-91de-4d9fb9f34a5d,2651,2,00:19:50.766,64,50,30,Pass,127,217,Barcelona,1,Regular Play,217,Barcelona,0.898857,,6812b12b-0a4a-4b4d-8f96-03d2d1cb4b78,6379,Sergi Roberto Carnicer,2,Right Back,17.6,66.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,facd2dcb-98d0-4556-9abd-470188accd2c,5216.0,Andrés Iniesta Luján,12.093387,0.4081491,2.0,Low Pass,28.7,70.9,38.0,Left Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facd2dcb-98d0-4556-9abd-470188accd2c,2652,2,00:19:51.665,64,51,42,Ball Receipt*,127,217,Barcelona,1,Regular Play,217,Barcelona,,,0552741d-b0e3-4741-91de-4d9fb9f34a5d,5216,Andrés Iniesta Luján,15,Left Center Midfield,28.7,70.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906ec1ff-4509-4a69-8394-75b593d70c84,2653,2,00:19:51.665,64,51,43,Carry,127,217,Barcelona,1,Regular Play,217,Barcelona,0.911243,,0c7d6e0a-9ebd-4d17-89d3-a6eaa759a43c,5216,Andrés Iniesta Luján,15,Left Center Midfield,28.7,70.9,,,True,,,,,,,,,,,,,,,,,,,,,,,,,c9fc60ee-5309-4495-a1c4-3c0a3460f07c,,,,,,,,,,,,,,facd2dcb-98d0-4556-9abd-470188accd2c,27.1,66.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c9fc60ee-5309-4495-a1c4-3c0a3460f07c,2654,2,00:19:52.221,64,52,17,Pressure,127,217,Barcelona,1,Regular Play,207,Valencia,0.485811,,0c7d6e0a-9ebd-4d17-89d3-a6eaa759a43c,6751,Javier Fuego Martínez,10,Center Defensive Midfield,89.4,9.9,,,,,,True,,,,,,,,,,,,,,,,,,,,,,906ec1ff-4509-4a69-8394-75b593d70c84,,,,,,,,,,,,,,aa0273df-5c3e-4ec8-9449-0b57f1955dab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568716d5-eaa6-44a7-9224-50d3361f3a40,2655,2,00:19:52.576,64,52,39,Dribbled Past,127,217,Barcelona,1,Regular Play,207,Valencia,0.0,,0c7d6e0a-9ebd-4d17-89d3-a6eaa759a43c,6751,Javier Fuego Martínez,10,Center Defensive Midfield,93.0,13.3,,,,,,True,,,,,,,,,,,,,,,,,,,,,,aa0273df-5c3e-4ec8-9449-0b57f1955dab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0c7d6e0a-9ebd-4d17-89d3-a6eaa759a43c,2656,2,00:19:52.576,64,52,14,Dribble,127,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,568716d5-eaa6-44a7-9224-50d3361f3a40,5216,Andrés Iniesta Luján,15,Left Center Midfield,27.1,66.8,,,True,,,,,,,,,,,,,,,,,,,,,,,,,c9fc60ee-5309-4495-a1c4-3c0a3460f07c,,,,,,,,,,,,,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa0273df-5c3e-4ec8-9449-0b57f1955dab,2657,2,00:19:52.576,64,52,43,Carry,127,217,Barcelona,1,Regular Play,217,Barcelona,0.6126,,0c7d6e0a-9ebd-4d17-89d3-a6eaa759a43c,5216,Andrés Iniesta Luján,15,Left Center Midfield,27.1,66.8,,,True,,,,,,,,,,,,,,,,,,,,,,,,,4d49f236-5623-4dda-9065-02713519c242,,,,,,,,,,,,,,568716d5-eaa6-44a7-9224-50d3361f3a40,28.3,65.9,,,c9fc60ee-5309-4495-a1c4-3c0a3460f07c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d49f236-5623-4dda-9065-02713519c242,2658,2,00:19:53.189,64,53,30,Pass,127,217,Barcelona,1,Regular Play,217,Barcelona,0.757235,,978f6c8f-4435-4078-9e24-fd3cd8baee99,5216,Andrés Iniesta Luján,15,Left Center Midfield,28.3,65.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5203.0,Sergio Busquets i Burgos,7.05762,0.12786992,1.0,Ground Pass,35.3,66.8,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978f6c8f-4435-4078-9e24-fd3cd8baee99,2659,2,00:19:53.946,64,53,42,Ball Receipt*,127,217,Barcelona,1,Regular Play,217,Barcelona,,,4d49f236-5623-4dda-9065-02713519c242,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,35.3,66.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
efcb0062-1f15-4170-9c4b-b25f5037e83f,2660,2,00:19:53.946,64,53,43,Carry,127,217,Barcelona,1,Regular Play,217,Barcelona,0.321865,,4fe54465-bc87-45d0-aa61-cd0a4e44f56f,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,35.3,66.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,978f6c8f-4435-4078-9e24-fd3cd8baee99,,,,,,,,,,,,,,,36.2,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4fe54465-bc87-45d0-aa61-cd0a4e44f56f,2661,2,00:19:54.268,64,54,30,Pass,127,217,Barcelona,1,Regular Play,217,Barcelona,1.177411,,bd932730-de01-480b-9a40-9b347bdba3bc,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,36.2,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,15.784169,0.56867284,1.0,Ground Pass,49.5,76.0,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd932730-de01-480b-9a40-9b347bdba3bc,2662,2,00:19:55.445,64,55,42,Ball Receipt*,127,217,Barcelona,1,Regular Play,217,Barcelona,,,4fe54465-bc87-45d0-aa61-cd0a4e44f56f,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,49.5,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2445739-ac21-4733-81db-0d5497851497,2663,2,00:19:55.445,64,55,43,Carry,127,217,Barcelona,1,Regular Play,217,Barcelona,2.393546,,bd932730-de01-480b-9a40-9b347bdba3bc,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,49.5,76.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,bf9903bb-8c2b-49d5-bc9b-95a162d1fbdd,,,,,,,,,,,,,,d3774a79-0f17-4a5d-ad99-1ede9a1bbaed,64.5,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bf9903bb-8c2b-49d5-bc9b-95a162d1fbdd,2664,2,00:19:56.083,64,56,17,Pressure,127,217,Barcelona,1,Regular Play,207,Valencia,0.972323,,d2445739-ac21-4733-81db-0d5497851497,10802,André Filipe Tavares Gomes,16,Left Midfield,70.9,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3774a79-0f17-4a5d-ad99-1ede9a1bbaed,2665,2,00:19:57.839,64,57,14,Dribble,127,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,9c40bfe1-ff46-4fa3-95cb-9b08c9f44d8a,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,64.5,75.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3e46e91-6015-4c3b-9548-8eeb69a204c5,2686,2,00:20:08.331,65,8,30,Pass,129,217,Barcelona,1,Regular Play,217,Barcelona,1.190216,,90d7c3dd-f999-4a22-bd57-b5c904188a81,5213,Gerard Piqué Bernabéu,3,Right Center Back,27.6,67.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,aace849b-9939-4910-9a06-1678fcaf0dec,6379.0,Sergi Roberto Carnicer,9.947865,0.52662724,2.0,Low Pass,36.2,72.6,40.0,Right Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90d7c3dd-f999-4a22-bd57-b5c904188a81,2687,2,00:20:09.522,65,9,42,Ball Receipt*,129,217,Barcelona,1,Regular Play,217,Barcelona,,,a3e46e91-6015-4c3b-9548-8eeb69a204c5,6379,Sergi Roberto Carnicer,2,Right Back,36.2,72.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8a523526-93fc-42be-9eee-8957e7b609c2,2688,2,00:20:09.522,65,9,43,Carry,129,217,Barcelona,1,Regular Play,217,Barcelona,2.438084,,8537122d-aaec-4d1c-9c25-17df7bdddf18,6379,Sergi Roberto Carnicer,2,Right Back,36.2,72.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,90d7c3dd-f999-4a22-bd57-b5c904188a81,,,,,,,,,,,,,,,44.2,67.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8537122d-aaec-4d1c-9c25-17df7bdddf18,2689,2,00:20:11.960,65,11,30,Pass,129,217,Barcelona,1,Regular Play,217,Barcelona,0.866052,,9d523e7b-dbe9-4fd7-9acd-2cf908c9a003,6379,Sergi Roberto Carnicer,2,Right Back,44.2,67.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5470.0,Ivan Rakitić,10.928861,0.9675665,1.0,Ground Pass,50.4,76.8,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4ef42571-01db-4143-a101-d8bdd5230273,2690,2,00:20:12.798,65,12,17,Pressure,129,217,Barcelona,1,Regular Play,207,Valencia,0.913493,,0c8b00c7-3545-414f-a0a7-4ccec7513b4e,26780,Guilherme Magdalena Siqueira,6,Left Back,69.6,11.6,,,,,,True,,,,,,,,,,,,,,,,,,,,,,96e0aa99-4b06-4905-9ba1-c11b6571ac1f,,,,,,,,,,,,,,9d523e7b-dbe9-4fd7-9acd-2cf908c9a003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9d523e7b-dbe9-4fd7-9acd-2cf908c9a003,2691,2,00:20:12.826,65,12,42,Ball Receipt*,129,217,Barcelona,1,Regular Play,217,Barcelona,,,4ef42571-01db-4143-a101-d8bdd5230273,5470,Ivan Rakitić,13,Right Center Midfield,50.4,76.8,,,True,,,,,,,,,,,,,,,,,,,,,,,,,8537122d-aaec-4d1c-9c25-17df7bdddf18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96e0aa99-4b06-4905-9ba1-c11b6571ac1f,2692,2,00:20:12.826,65,12,43,Carry,129,217,Barcelona,1,Regular Play,217,Barcelona,0.539348,,0c8b00c7-3545-414f-a0a7-4ccec7513b4e,5470,Ivan Rakitić,13,Right Center Midfield,50.4,76.8,,,True,,,,,,,,,,,,,,,,,,,,,,,,,4ef42571-01db-4143-a101-d8bdd5230273,,,,,,,,,,,,,,9d523e7b-dbe9-4fd7-9acd-2cf908c9a003,44.7,76.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0c8b00c7-3545-414f-a0a7-4ccec7513b4e,2693,2,00:20:13.365,65,13,30,Pass,129,217,Barcelona,1,Regular Play,217,Barcelona,0.310715,,4ef42571-01db-4143-a101-d8bdd5230273,5470,Ivan Rakitić,13,Right Center Midfield,44.7,76.3,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.664912,-0.27179217,1.0,Ground Pass,56.9,72.9,40.0,Right Foot,,,,,,,,,,77.0,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985e0786-d83c-433d-bc8c-b4bbc88bce8f,2694,2,00:20:13.851,65,13,22,Foul Committed,129,217,Barcelona,1,Regular Play,207,Valencia,0.0,,d9d3b52d-77d7-4e24-9da0-af49bc41784f,10802,André Filipe Tavares Gomes,16,Left Midfield,70.4,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d9d3b52d-77d7-4e24-9da0-af49bc41784f,2695,2,00:20:13.851,65,13,21,Foul Won,129,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,985e0786-d83c-433d-bc8c-b4bbc88bce8f,6379,Sergi Roberto Carnicer,2,Right Back,49.7,68.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d56f3154-40c7-4154-b629-eb089ee00007,2696,2,00:20:22.225,65,22,30,Pass,130,217,Barcelona,3,From Free Kick,217,Barcelona,1.609596,,da1ea9ed-c1ae-433b-80ac-e56f5eb9196e,5470,Ivan Rakitić,13,Right Center Midfield,51.2,67.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,20.390194,0.37139916,1.0,Ground Pass,70.2,75.0,40.0,Right Foot,62.0,Free Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
da1ea9ed-c1ae-433b-80ac-e56f5eb9196e,2697,2,00:20:23.835,65,23,42,Ball Receipt*,130,217,Barcelona,3,From Free Kick,217,Barcelona,,,d56f3154-40c7-4154-b629-eb089ee00007,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,70.2,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0f00b690-c872-4829-ae26-d9c406f5b396,2698,2,00:20:23.835,65,23,43,Carry,130,217,Barcelona,3,From Free Kick,217,Barcelona,3.638437,,7d6df529-3142-4952-9f5f-4493e4353e83,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,70.2,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,da1ea9ed-c1ae-433b-80ac-e56f5eb9196e,,,,,,,,,,,,,,,91.5,58.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
