,inDegree_players,inDegree_players,inDegree_players,outDegree_players,outDegree_players,outDegree_players,clustering_coefficients,clustering_coefficients,clustering_coefficients,betweenness_centralities,betweenness_centralities,betweenness_centralities,closeness_centralities,closeness_centralities,closeness_centralities,eigenvector_centrality,eigenvector_centrality,eigenvector_centrality,eccentricity,eccentricity,eccentricity
,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
5246,6.0,1.0,3,3.67,2.08,3,0.62,,1,0.01,,1,0.65,,1,0.24,,1.0,3.0,,1.0
5503,7.0,0.0,2,8.0,1.41,2,0.51,,1,0.13,,1,0.73,,1,0.31,,1.0,2.0,,1.0
5203,6.67,2.31,3,7.67,2.52,3,0.61,,1,0.07,,1,0.79,,1,0.38,,1.0,2.0,,1.0
5211,5.67,1.15,3,4.67,1.53,3,0.72,,1,0.02,,1,0.65,,1,0.24,,1.0,2.0,,1.0
5506,5.67,2.08,3,7.0,0.0,3,0.62,,1,0.05,,1,0.65,,1,0.25,,1.0,2.0,,1.0
5213,6.0,1.0,3,6.67,2.52,3,0.49,,1,0.13,,1,0.73,,1,0.31,,1.0,2.0,,1.0
6379,6.5,0.71,2,6.5,0.71,2,0.45,,1,0.09,,1,0.6,,1,0.31,,1.0,2.0,,1.0
5216,6.5,0.71,2,8.5,0.71,2,0.57,,1,0.08,,1,0.73,,1,0.33,,1.0,2.0,,1.0
4691,1.33,1.15,3,3.0,1.0,3,0.67,,1,0.0,,1,0.48,,1,0.09,,1.0,2.0,,1.0
4320,6.33,1.53,3,5.67,2.52,3,0.62,,1,0.01,,1,0.65,,1,0.23,,1.0,3.0,,1.0
5470,6.0,2.0,3,4.67,1.53,3,0.77,,1,0.01,,1,0.69,,1,0.29,,1.0,2.0,,1.0
10609,1.0,,1,1.0,,1,0.0,,1,0.08,,1,0.37,,1,,,,,,
4324,6.5,2.12,2,6.5,0.71,2,0.61,,1,0.07,,1,0.79,,1,0.38,,1.0,2.0,,1.0
3508,5.0,,1,3.0,,1,0.42,,1,0.04,,1,0.52,,1,,,,,,
6616,1.0,,1,0.0,,1,0.0,,1,0.0,,1,0.31,,1,,,,,,
11094,5.0,,1,4.0,,1,0.82,,1,0.01,,1,0.65,,1,0.27,,1.0,3.0,,1.0
