id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,ball_receipt,under_pressure,off_camera,duel,interception,goalkeeper,clearance,foul_won,counterpress,out,dribble,ball_recovery,miscontrol,foul_committed,shot,block,substitution,bad_behaviour,pass,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,pass_switch,pass_outcome_id,pass_outcome_name,related_events,pass_technique_id,pass_technique_name,pass_outswinging,clearance_body_part_id,clearance_body_part_name,clearance_head,ball_receipt_outcome_id,ball_receipt_outcome_name,dribble_outcome_id,dribble_outcome_name,related_events_3,interception_outcome_id,interception_outcome_name,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,clearance_right_foot,pass_aerial_won,pass_deflected,pass_through_ball,ball_recovery_recovery_failure,clearance_aerial_won,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,foul_committed_offensive,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,location,pass_cross,foul_committed_advantage,foul_won_advantage,related_events_4,pass_cut_back,clearance_left_foot,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,goalkeeper_position_id,goalkeeper_position_name,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,shot_freeze_frame_14_location_0,shot_freeze_frame_14_location_1,shot_freeze_frame_14_player_id,shot_freeze_frame_14_player_name,shot_freeze_frame_14_position_id,shot_freeze_frame_14_position_name,shot_freeze_frame_14_teammate,dribble_nutmeg,block_offensive,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_first_time,pass_inswinging,pass_goal_assist
d5703676-ca44-47df-a79d-8d4f41334632,393,1,00:12:10.162,12,10,30,Pass,27,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.384888,,435d9cbc-890e-4109-bcc0-0c38f51a58f4,26690,Alberto Mateus Contreiras Gonçalves,23,Center Forward,61.0,40.1,24782.0,Jonhatan Montiel Caballero,1.627882,-2.3127437,1.0,Ground Pass,59.9,38.9,40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435d9cbc-890e-4109-bcc0-0c38f51a58f4,394,1,00:12:10.547,12,10,42,Ball Receipt*,27,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,d5703676-ca44-47df-a79d-8d4f41334632,24782,Jonhatan Montiel Caballero,19,Center Attacking Midfield,59.9,38.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9bb188fe-bc9a-4e0c-8666-28e1558b4cad,395,1,00:12:10.547,12,10,30,Pass,27,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.780879,,b0e35a6c-da88-4391-8935-9b8de65d7b7b,24782,Jonhatan Montiel Caballero,19,Center Attacking Midfield,59.9,38.9,26848.0,Roberto Trashorras Gayoso,9.296236,2.9357586,1.0,Ground Pass,50.8,40.8,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0e35a6c-da88-4391-8935-9b8de65d7b7b,396,1,00:12:11.328,12,11,42,Ball Receipt*,27,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,9bb188fe-bc9a-4e0c-8666-28e1558b4cad,26848,Roberto Trashorras Gayoso,9,Right Defensive Midfield,50.8,40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a7679455-c680-4d18-b707-0a6934bc8b71,397,1,00:12:11.328,12,11,43,Carry,27,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,2.320572,,b0e35a6c-da88-4391-8935-9b8de65d7b7b,26848,Roberto Trashorras Gayoso,9,Right Defensive Midfield,50.8,40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,da9dfdbf-1315-47c1-a174-17f2f9a1c4c7,58.0,54.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
da9dfdbf-1315-47c1-a174-17f2f9a1c4c7,398,1,00:12:13.648,12,13,30,Pass,27,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.442915,,b2a9c7c0-c77a-4840-8fdf-313f8ce70968,26848,Roberto Trashorras Gayoso,9,Right Defensive Midfield,58.0,54.8,6914.0,Roberto Román Triguero,21.200943,1.5613626,1.0,Ground Pass,58.2,76.0,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2a9c7c0-c77a-4840-8fdf-313f8ce70968,399,1,00:12:15.091,12,15,42,Ball Receipt*,27,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,da9dfdbf-1315-47c1-a174-17f2f9a1c4c7,6914,Roberto Román Triguero,2,Right Back,58.2,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ba3bd62f-65a1-48e5-8027-8532d054f455,400,1,00:12:15.091,12,15,43,Carry,27,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.054268,,2cc3d502-ad7b-482d-9457-d0d79f04bff8,6914,Roberto Román Triguero,2,Right Back,58.2,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b2a9c7c0-c77a-4840-8fdf-313f8ce70968,57.1,75.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2cc3d502-ad7b-482d-9457-d0d79f04bff8,401,1,00:12:16.146,12,16,30,Pass,27,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.411913,,0f8148c0-668e-4fa8-9d7d-d95e213ececc,6914,Roberto Román Triguero,2,Right Back,57.1,75.3,6713.0,Diego Javier Llorente Ríos,22.622555,-2.1992676,1.0,Ground Pass,43.8,57.0,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0f8148c0-668e-4fa8-9d7d-d95e213ececc,402,1,00:12:17.558,12,17,42,Ball Receipt*,27,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,2cc3d502-ad7b-482d-9457-d0d79f04bff8,6713,Diego Javier Llorente Ríos,3,Right Center Back,43.8,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3a4876f7-be86-430e-8c8d-aea05534c8e3,403,1,00:12:17.558,12,17,43,Carry,27,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.968571,,0f8148c0-668e-4fa8-9d7d-d95e213ececc,6713,Diego Javier Llorente Ríos,3,Right Center Back,43.8,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33c95255-ce71-470e-9495-57965be244fb,43.8,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33c95255-ce71-470e-9495-57965be244fb,404,1,00:12:18.526,12,18,30,Pass,27,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,2.60811,,1309f828-adef-4319-806a-cd3e2bf9db43,6713,Diego Javier Llorente Ríos,3,Right Center Back,43.8,57.0,18404.0,José Ángel Crespo Rincón,28.606293,-1.5498204,1.0,Ground Pass,44.4,28.4,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309f828-adef-4319-806a-cd3e2bf9db43,405,1,00:12:21.134,12,21,42,Ball Receipt*,27,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,33c95255-ce71-470e-9495-57965be244fb,18404,José Ángel Crespo Rincón,5,Left Center Back,44.4,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aace284b-ec7b-45cf-bfac-204157b341bc,406,1,00:12:21.134,12,21,43,Carry,27,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,3.159999,,1309f828-adef-4319-806a-cd3e2bf9db43,18404,José Ángel Crespo Rincón,5,Left Center Back,44.4,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15ad7edb-523d-44ac-b6be-4aeefb465fb7,55.4,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15ad7edb-523d-44ac-b6be-4aeefb465fb7,407,1,00:12:24.294,12,24,30,Pass,27,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.743317,,dfd7592d-c02c-445e-bd3b-0b4fd134e92b,18404,José Ángel Crespo Rincón,5,Left Center Back,55.4,26.0,26607.0,José Raúl Baena Urdiales,6.3126855,0.86388826,1.0,Ground Pass,59.5,30.8,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dfd7592d-c02c-445e-bd3b-0b4fd134e92b,408,1,00:12:25.038,12,25,42,Ball Receipt*,27,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,15ad7edb-523d-44ac-b6be-4aeefb465fb7,26607,José Raúl Baena Urdiales,11,Left Defensive Midfield,59.5,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16a964d0-98cb-44e5-98e7-724417907d28,409,1,00:12:25.038,12,25,30,Pass,27,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.944064,,920a82f7-7309-4480-81d7-e14334b6e683,26607,José Raúl Baena Urdiales,11,Left Defensive Midfield,59.5,30.8,18404.0,José Ángel Crespo Rincón,8.188406,-2.067219,1.0,Ground Pass,55.6,23.6,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920a82f7-7309-4480-81d7-e14334b6e683,410,1,00:12:25.982,12,25,42,Ball Receipt*,27,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,16a964d0-98cb-44e5-98e7-724417907d28,18404,José Ángel Crespo Rincón,5,Left Center Back,55.6,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
af80b5a6-0784-4227-b350-226b16e54b99,411,1,00:12:25.982,12,25,43,Carry,27,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,3.362792,,8c0cf07a-26e7-44b9-b50e-253e6e7907c7,18404,José Ángel Crespo Rincón,5,Left Center Back,55.6,23.6,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,920a82f7-7309-4480-81d7-e14334b6e683,57.3,16.8,d26d7ecf-6664-43bb-8361-801f36843817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8c0cf07a-26e7-44b9-b50e-253e6e7907c7,412,1,00:12:28.659,12,28,17,Pressure,27,360,Rayo Vallecano,9,From Kick Off,214,Espanyol,0.28293,,af80b5a6-0784-4227-b350-226b16e54b99,6758,Víctor Sánchez Mata,13,Right Center Midfield,60.8,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44a15643-d444-42ca-b8c0-6e646984cce5,413,1,00:12:29.344,12,29,22,Foul Committed,27,360,Rayo Vallecano,9,From Kick Off,214,Espanyol,0.0,,d26d7ecf-6664-43bb-8361-801f36843817,6758,Víctor Sánchez Mata,13,Right Center Midfield,62.8,63.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d26d7ecf-6664-43bb-8361-801f36843817,414,1,00:12:29.344,12,29,21,Foul Won,27,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.0,,44a15643-d444-42ca-b8c0-6e646984cce5,18404,José Ángel Crespo Rincón,5,Left Center Back,57.3,16.8,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2c555758-c0ee-45a0-b6cb-2669b19723da,415,1,00:12:41.747,12,41,30,Pass,28,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,0.957913,,e3b8606d-b6ed-4d24-9ac6-2009363cd9e0,26607,José Raúl Baena Urdiales,11,Left Defensive Midfield,55.6,12.9,11298.0,José Ignacio Martínez García,7.877182,-1.4306946,1.0,Ground Pass,56.7,5.1,40.0,Right Foot,62.0,Free Kick,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3b8606d-b6ed-4d24-9ac6-2009363cd9e0,416,1,00:12:42.705,12,42,42,Ball Receipt*,28,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,2c555758-c0ee-45a0-b6cb-2669b19723da,11298,José Ignacio Martínez García,6,Left Back,56.7,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88043bc5-2a62-4a1c-a334-55eec32c0d3f,417,1,00:12:42.745,12,42,30,Pass,28,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,0.711977,,c6476a6b-cfbf-4288-8857-56a2c02df73b,11298,José Ignacio Martínez García,6,Left Back,56.9,5.1,26607.0,José Raúl Baena Urdiales,6.166036,1.7172805,1.0,Ground Pass,56.0,11.2,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6476a6b-cfbf-4288-8857-56a2c02df73b,418,1,00:12:43.457,12,43,42,Ball Receipt*,28,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,88043bc5-2a62-4a1c-a334-55eec32c0d3f,26607,José Raúl Baena Urdiales,11,Left Defensive Midfield,56.0,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21932e2c-550d-456b-8602-ed3813ba30e9,419,1,00:12:43.457,12,43,43,Carry,28,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,2.066826,,c6476a6b-cfbf-4288-8857-56a2c02df73b,26607,José Raúl Baena Urdiales,11,Left Defensive Midfield,56.0,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fe348910-3a36-4ba7-a9d2-c6b2c265e0d6,56.0,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe348910-3a36-4ba7-a9d2-c6b2c265e0d6,420,1,00:12:45.524,12,45,30,Pass,28,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,0.929132,,f7a21869-6754-4f2a-936e-f7545a3fa527,26607,José Raúl Baena Urdiales,11,Left Defensive Midfield,56.0,12.7,18404.0,José Ángel Crespo Rincón,11.834272,-3.0654688,1.0,Ground Pass,44.2,11.8,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f7a21869-6754-4f2a-936e-f7545a3fa527,421,1,00:12:46.453,12,46,42,Ball Receipt*,28,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,fe348910-3a36-4ba7-a9d2-c6b2c265e0d6,18404,José Ángel Crespo Rincón,5,Left Center Back,44.2,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
