id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,ball_receipt,counterpress,goalkeeper,dribble,duel,foul_committed,off_camera,clearance,shot,foul_won,interception,out,ball_recovery,bad_behaviour,substitution,pass,related_events_1,related_events_2,carry_end_location_0,carry_end_location_1,pass_switch,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_first_time,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,dribble_outcome_id,dribble_outcome_name,related_events_3,pass_outcome_id,pass_outcome_name,related_events,pass_cross,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,shot_freeze_frame_14_location_0,shot_freeze_frame_14_location_1,shot_freeze_frame_14_player_id,shot_freeze_frame_14_player_name,shot_freeze_frame_14_position_id,shot_freeze_frame_14_position_name,shot_freeze_frame_14_teammate,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,foul_committed_offensive,foul_won_defensive,pass_deflected,interception_outcome_id,interception_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,clearance_head,clearance_body_part_id,clearance_body_part_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,shot_freeze_frame_15_location_0,shot_freeze_frame_15_location_1,shot_freeze_frame_15_player_id,shot_freeze_frame_15_player_name,shot_freeze_frame_15_position_id,shot_freeze_frame_15_position_name,shot_freeze_frame_15_teammate,shot_freeze_frame_16_location_0,shot_freeze_frame_16_location_1,shot_freeze_frame_16_player_id,shot_freeze_frame_16_player_name,shot_freeze_frame_16_position_id,shot_freeze_frame_16_position_name,shot_freeze_frame_16_teammate,shot_freeze_frame_17_location_0,shot_freeze_frame_17_location_1,shot_freeze_frame_17_player_id,shot_freeze_frame_17_player_name,shot_freeze_frame_17_position_id,shot_freeze_frame_17_position_name,shot_freeze_frame_17_teammate,pass_outswinging,pass_technique_id,pass_technique_name,clearance_right_foot
541b4b78-dee7-4f6b-afc9-9d4bfae850de,776,1,00:23:02.586,23,2,30,Pass,47,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.119999,,0d9da9fb-c99c-4189-b0f1-b6f128b356f7,11542,Javier Guerra Rodríguez,23,Center Forward,60.0,40.0,7900.0,Tiago Manuel Dias Correia,7.7006493,-2.4851053,1.0,Ground Pass,53.9,35.3,40.0,Right Foot,65.0,Kick Off,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0d9da9fb-c99c-4189-b0f1-b6f128b356f7,777,1,00:23:02.706,23,2,42,Ball Receipt*,47,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,541b4b78-dee7-4f6b-afc9-9d4bfae850de,7900,Tiago Manuel Dias Correia,17,Right Wing,53.9,35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a7b6ff0b-e52a-4bb0-a841-002c12fa31d6,778,1,00:23:02.866,23,2,30,Pass,47,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.845065,,56e5eb1b-e7a6-46da-893d-daff4ed102cc,7900,Tiago Manuel Dias Correia,17,Right Wing,54.7,34.7,26848.0,Roberto Trashorras Gayoso,12.439052,2.7103078,1.0,Ground Pass,43.4,39.9,40.0,Right Foot,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56e5eb1b-e7a6-46da-893d-daff4ed102cc,779,1,00:23:03.711,23,3,42,Ball Receipt*,47,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,a7b6ff0b-e52a-4bb0-a841-002c12fa31d6,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,43.4,39.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628bac4f-cc2b-48c1-afae-16905b13b5db,780,1,00:23:05.751,23,5,22,Foul Committed,47,360,Rayo Vallecano,9,From Kick Off,213,Sevilla,0.0,,504daa17-9cb9-4781-9ba4-d50acbfd7ee8,3497,Vicente Iborra De La Fuente,19,Center Attacking Midfield,80.8,41.4,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504daa17-9cb9-4781-9ba4-d50acbfd7ee8,781,1,00:23:05.751,23,5,21,Foul Won,47,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.0,,628bac4f-cc2b-48c1-afae-16905b13b5db,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,39.3,38.7,,,,,,,,,,,,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2bdee48-e879-40d8-94ea-bc44ce9f7d3b,782,1,00:23:22.611,23,22,30,Pass,48,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,2.418597,,2db7c0d9-66ee-42ef-aca2-eabb1f85cb36,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,44.9,37.5,10727.0,Răzvan Dincă Raț,39.499367,-0.99824196,3.0,High Pass,66.3,4.3,40.0,Right Foot,62.0,Free Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2597184-f9ce-473c-bd2c-a6fbc29ce7b5,783,1,00:23:24.742,23,24,17,Pressure,48,360,Rayo Vallecano,3,From Free Kick,213,Sevilla,0.46416,,2db7c0d9-66ee-42ef-aca2-eabb1f85cb36,23816,José Antonio Reyes Calderón,17,Right Wing,51.9,71.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b420f28b-dabd-4d7d-a45e-0563fdef5e17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2db7c0d9-66ee-42ef-aca2-eabb1f85cb36,784,1,00:23:25.029,23,25,42,Ball Receipt*,48,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,d2597184-f9ce-473c-bd2c-a6fbc29ce7b5,10727,Răzvan Dincă Raț,6,Left Back,66.3,4.3,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,e2bdee48-e879-40d8-94ea-bc44ce9f7d3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b420f28b-dabd-4d7d-a45e-0563fdef5e17,785,1,00:23:25.029,23,25,30,Pass,48,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,2.22293,,72b386f5-03dd-4d23-8bed-791b0db4fb4f,10727,Răzvan Dincă Raț,6,Left Back,66.7,3.3,6713.0,Diego Javier Llorente Ríos,24.040798,3.0833254,1.0,Ground Pass,42.7,4.7,38.0,Left Foot,,,,True,,,,,,,,,,,,,,,,,d2597184-f9ce-473c-bd2c-a6fbc29ce7b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72b386f5-03dd-4d23-8bed-791b0db4fb4f,786,1,00:23:27.252,23,27,42,Ball Receipt*,48,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,b420f28b-dabd-4d7d-a45e-0563fdef5e17,6713,Diego Javier Llorente Ríos,5,Left Center Back,42.7,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83a1623f-c13e-49f1-9983-5a5800ba0870,787,1,00:23:27.252,23,27,43,Carry,48,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,1.313231,,3fae8ab0-0bf3-4174-8344-f03bd39d883c,6713,Diego Javier Llorente Ríos,5,Left Center Back,42.7,4.7,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,72b386f5-03dd-4d23-8bed-791b0db4fb4f,9b9add68-4adb-49ac-b2b6-2e96161a4e10,41.3,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9b9add68-4adb-49ac-b2b6-2e96161a4e10,788,1,00:23:28.356,23,28,17,Pressure,48,360,Rayo Vallecano,3,From Free Kick,213,Sevilla,0.373245,,3fae8ab0-0bf3-4174-8344-f03bd39d883c,23816,José Antonio Reyes Calderón,17,Right Wing,77.4,70.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83a1623f-c13e-49f1-9983-5a5800ba0870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3fae8ab0-0bf3-4174-8344-f03bd39d883c,789,1,00:23:28.566,23,28,30,Pass,48,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,0.879601,,48812058-5667-4bab-be14-1fb433d5ad72,6713,Diego Javier Llorente Ríos,5,Left Center Back,41.3,10.6,26848.0,Roberto Trashorras Gayoso,4.501111,1.5485778,1.0,Ground Pass,41.4,15.1,40.0,Right Foot,,,,True,,,,,,,,,,,,,,,,,9b9add68-4adb-49ac-b2b6-2e96161a4e10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48812058-5667-4bab-be14-1fb433d5ad72,790,1,00:23:29.445,23,29,42,Ball Receipt*,48,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,3fae8ab0-0bf3-4174-8344-f03bd39d883c,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,41.4,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b41c6033-8b88-4f24-8154-937020ccb871,791,1,00:23:29.445,23,29,43,Carry,48,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,2.009031,,0a5927a2-5f21-4043-b3db-b55474f19742,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,41.4,15.1,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,48812058-5667-4bab-be14-1fb433d5ad72,88b5fc10-300e-4dcf-987b-4e467b6d1603,38.6,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0a5927a2-5f21-4043-b3db-b55474f19742,792,1,00:23:30.074,23,30,17,Pressure,48,360,Rayo Vallecano,3,From Free Kick,213,Sevilla,0.561813,,b41c6033-8b88-4f24-8154-937020ccb871,23816,José Antonio Reyes Calderón,17,Right Wing,79.5,66.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88b5fc10-300e-4dcf-987b-4e467b6d1603,793,1,00:23:31.454,23,31,30,Pass,48,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,2.295629,,180aa3fc-0767-4cac-ab09-420f63f48f92,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,38.6,16.2,27144.0,Antonio Amaya Carazo,46.24327,1.5275333,2.0,Low Pass,40.6,62.4,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180aa3fc-0767-4cac-ab09-420f63f48f92,794,1,00:23:33.750,23,33,42,Ball Receipt*,48,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,88b5fc10-300e-4dcf-987b-4e467b6d1603,27144,Antonio Amaya Carazo,3,Right Center Back,40.6,62.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1fb1f96-66a8-4282-987f-e0fde5053738,795,1,00:23:33.750,23,33,43,Carry,48,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,0.797328,,0f783cc6-1e31-4e6a-afae-e7929bdd4ad1,27144,Antonio Amaya Carazo,3,Right Center Back,40.6,62.4,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,180aa3fc-0767-4cac-ab09-420f63f48f92,4afcede4-14d2-4632-87be-c370f5fde3d6,42.3,61.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0f783cc6-1e31-4e6a-afae-e7929bdd4ad1,796,1,00:23:34.209,23,34,17,Pressure,48,360,Rayo Vallecano,3,From Free Kick,213,Sevilla,0.252749,,b1fb1f96-66a8-4282-987f-e0fde5053738,6401,Kevin Gameiro,23,Center Forward,76.7,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4afcede4-14d2-4632-87be-c370f5fde3d6,797,1,00:23:34.547,23,34,30,Pass,48,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,1.228173,,87b99457-8f5f-4e27-b379-94c0405c2e68,27144,Antonio Amaya Carazo,3,Right Center Back,42.3,61.7,11539.0,Adrián Embarba Blázquez,21.021893,-0.36990607,1.0,Ground Pass,61.9,54.1,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87b99457-8f5f-4e27-b379-94c0405c2e68,798,1,00:23:35.775,23,35,42,Ball Receipt*,48,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,4afcede4-14d2-4632-87be-c370f5fde3d6,11539,Adrián Embarba Blázquez,21,Left Wing,61.9,54.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590fbfb5-5aea-4faa-afbc-6e77a7f1ea49,799,1,00:23:35.775,23,35,43,Carry,48,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,2.001079,,33bfe6bc-677d-4f8e-ac6e-a83b26b6a313,11539,Adrián Embarba Blázquez,21,Left Wing,61.9,54.1,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,87b99457-8f5f-4e27-b379-94c0405c2e68,e26eb82f-5f62-40f8-b5ad-04ee2ac51cee,64.0,60.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e26eb82f-5f62-40f8-b5ad-04ee2ac51cee,800,1,00:23:37.319,23,37,17,Pressure,48,360,Rayo Vallecano,3,From Free Kick,213,Sevilla,0.461125,,33bfe6bc-677d-4f8e-ac6e-a83b26b6a313,3637,Grzegorz Krychowiak,11,Left Defensive Midfield,56.6,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590fbfb5-5aea-4faa-afbc-6e77a7f1ea49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1456283-36be-4369-944f-06416f36ead5,801,1,00:23:37.777,23,37,22,Foul Committed,48,360,Rayo Vallecano,3,From Free Kick,213,Sevilla,0.0,,33bfe6bc-677d-4f8e-ac6e-a83b26b6a313,3637,Grzegorz Krychowiak,11,Left Defensive Midfield,56.1,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33bfe6bc-677d-4f8e-ac6e-a83b26b6a313,802,1,00:23:37.777,23,37,21,Foul Won,48,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,0.0,,b1456283-36be-4369-944f-06416f36ead5,11539,Adrián Embarba Blázquez,21,Left Wing,64.0,60.1,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,e26eb82f-5f62-40f8-b5ad-04ee2ac51cee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
