id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,ball_receipt,out,under_pressure,clearance,counterpress,duel,off_camera,interception,dribble,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,shot,foul_committed,foul_won,ball_recovery,substitution,block,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,goalkeeper,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,related_events_1,carry_end_location_0,carry_end_location_1,related_events,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_switch,pass_inswinging,pass_technique_id,pass_technique_name,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,shot_freeze_frame_14_location_0,shot_freeze_frame_14_location_1,shot_freeze_frame_14_player_id,shot_freeze_frame_14_player_name,shot_freeze_frame_14_position_id,shot_freeze_frame_14_position_name,shot_freeze_frame_14_teammate,shot_freeze_frame_15_location_0,shot_freeze_frame_15_location_1,shot_freeze_frame_15_player_id,shot_freeze_frame_15_player_name,shot_freeze_frame_15_position_id,shot_freeze_frame_15_position_name,shot_freeze_frame_15_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,foul_won_defensive,related_events_2,clearance_left_foot,clearance_body_part_id,clearance_body_part_name,clearance_head,related_events_3,interception_outcome_id,interception_outcome_name,pass_aerial_won,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,goalkeeper_body_part_id,goalkeeper_body_part_name,ball_recovery_recovery_failure,clearance_aerial_won,player,position,location
e5d9d6ac-ec9b-49d2-a3f3-e175c8ce940d,3065,2,00:41:57.202,86,57,30,Pass,166,217,Barcelona,3,From Free Kick,217,Barcelona,1.1177,,d58a7879-eb47-4f55-b6ca-22525fd13bf3,5470.0,Ivan Rakitić,13.0,Right Center Midfield,77.1,74.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20131.0,Xavier Hernández Creus,11.584904,-1.6919394,1.0,Ground Pass,75.7,63.4,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d58a7879-eb47-4f55-b6ca-22525fd13bf3,3066,2,00:41:58.319,86,58,42,Ball Receipt*,166,217,Barcelona,3,From Free Kick,217,Barcelona,,,e5d9d6ac-ec9b-49d2-a3f3-e175c8ce940d,20131.0,Xavier Hernández Creus,10.0,Center Defensive Midfield,75.7,63.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83b385e4-c83d-43e6-87d9-ec544fbeec51,3067,2,00:41:58.319,86,58,43,Carry,166,217,Barcelona,3,From Free Kick,217,Barcelona,0.08,,06493d1b-3d38-42bf-9046-7601d0ad6f4f,20131.0,Xavier Hernández Creus,10.0,Center Defensive Midfield,75.7,63.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d58a7879-eb47-4f55-b6ca-22525fd13bf3,75.7,63.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06493d1b-3d38-42bf-9046-7601d0ad6f4f,3068,2,00:41:58.399,86,58,30,Pass,166,217,Barcelona,3,From Free Kick,217,Barcelona,1.6167,,da271523-828e-4956-a5dd-81ae02077d83,20131.0,Xavier Hernández Creus,10.0,Center Defensive Midfield,75.7,63.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5246.0,Luis Alberto Suárez Díaz,22.743132,0.3453901,1.0,Ground Pass,97.1,71.1,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
da271523-828e-4956-a5dd-81ae02077d83,3069,2,00:42:00.016,87,0,42,Ball Receipt*,166,217,Barcelona,3,From Free Kick,217,Barcelona,,,06493d1b-3d38-42bf-9046-7601d0ad6f4f,5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,97.1,71.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9912016f-c48b-441b-a500-3b3a125bd00d,3070,2,00:42:00.016,87,0,43,Carry,166,217,Barcelona,3,From Free Kick,217,Barcelona,3.2596,,a2d0bd5a-8e05-425d-b56f-45aa2e8a23d5,5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,97.1,71.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,da271523-828e-4956-a5dd-81ae02077d83,98.8,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2d0bd5a-8e05-425d-b56f-45aa2e8a23d5,3071,2,00:42:03.276,87,3,30,Pass,166,217,Barcelona,3,From Free Kick,217,Barcelona,1.1285,,7a69e6c1-eedb-4fe9-8ef6-31a0049d1f11,5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,98.8,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4320.0,Neymar da Silva Santos Junior,11.543396,-0.6192424,1.0,Ground Pass,108.2,50.1,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7a69e6c1-eedb-4fe9-8ef6-31a0049d1f11,3072,2,00:42:04.404,87,4,42,Ball Receipt*,166,217,Barcelona,3,From Free Kick,217,Barcelona,,,a2d0bd5a-8e05-425d-b56f-45aa2e8a23d5,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,108.2,50.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ebf0deaa-0a36-4ff5-8a18-014c92c44159,3073,2,00:42:04.404,87,4,30,Pass,166,217,Barcelona,3,From Free Kick,217,Barcelona,0.9878,,843a240e-e4a1-45f4-8bf3-65804052ba16,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,108.2,50.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5246.0,Luis Alberto Suárez Díaz,6.140033,-1.456542,1.0,Ground Pass,108.9,44.0,,,40.0,Right Foot,dcade569-a33e-416f-92d1-840b47af293d,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dcade569-a33e-416f-92d1-840b47af293d,3074,2,00:42:05.392,87,5,42,Ball Receipt*,166,217,Barcelona,3,From Free Kick,217,Barcelona,,,ebf0deaa-0a36-4ff5-8a18-014c92c44159,5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,103.8,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843a240e-e4a1-45f4-8bf3-65804052ba16,3075,2,00:42:05.392,87,5,9,Clearance,166,217,Barcelona,3,From Free Kick,403,Almería,0.0,,ebf0deaa-0a36-4ff5-8a18-014c92c44159,24127.0,Ramon Olamilekan Azeez,11.0,Left Defensive Midfield,11.2,36.1,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,38.0,Left Foot,,,,,,,,,,,,,,,
e03cdd09-9225-46d4-8f51-3efd2f8e1c5a,3130,2,00:43:41.433,88,41,4,Duel,172,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,7086e39c-12a6-4940-9589-6dfea884cdf6,6998.0,Rafael Alcântara do Nascimento,15.0,Left Center Midfield,77.5,15.9,,,,,True,,True,,,,,,,,,,,,,,,,,,,4.0,Won,11.0,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06b8b200-ddb3-4186-bae0-59a284467e1f,3131,2,00:43:41.433,88,41,43,Carry,172,217,Barcelona,1,Regular Play,217,Barcelona,1.496617,,75943392-9bbb-4a42-9fef-9bae9d7b0eb6,6998.0,Rafael Alcântara do Nascimento,15.0,Left Center Midfield,77.5,15.9,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e03cdd09-9225-46d4-8f51-3efd2f8e1c5a,80.3,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e0e68d7c-2a30-4585-a055-8491d38eccf6,,,,,,,,,,,,,,,,,,
e0e68d7c-2a30-4585-a055-8491d38eccf6,3132,2,00:43:42.614,88,42,17,Pressure,172,217,Barcelona,1,Regular Play,403,Almería,0.5835,,06b8b200-ddb3-4186-bae0-59a284467e1f,25723.0,Wellington Alves da Silva,17.0,Right Wing,38.6,61.3,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75943392-9bbb-4a42-9fef-9bae9d7b0eb6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75943392-9bbb-4a42-9fef-9bae9d7b0eb6,3133,2,00:43:42.930,88,42,30,Pass,172,217,Barcelona,1,Regular Play,217,Barcelona,0.8813,,cc4fe97d-73aa-44e9-bd66-8bd6f0d4df7d,6998.0,Rafael Alcântara do Nascimento,15.0,Left Center Midfield,80.3,22.8,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,5246.0,Luis Alberto Suárez Díaz,9.158603,1.0191413,1.0,Ground Pass,85.1,30.6,,,38.0,Left Foot,e0e68d7c-2a30-4585-a055-8491d38eccf6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cc4fe97d-73aa-44e9-bd66-8bd6f0d4df7d,3134,2,00:43:43.811,88,43,42,Ball Receipt*,172,217,Barcelona,1,Regular Play,217,Barcelona,,,75943392-9bbb-4a42-9fef-9bae9d7b0eb6,5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,85.1,30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368a34ce-3bcd-47b6-b92e-5ec15dd0800f,3135,2,00:43:43.811,88,43,30,Pass,172,217,Barcelona,1,Regular Play,217,Barcelona,1.3419,,b00f5ebd-58fe-4d9f-9ef3-7aca556bd883,5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,85.1,30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5211.0,Jordi Alba Ramos,21.079374,-2.3830338,1.0,Ground Pass,69.8,16.1,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b00f5ebd-58fe-4d9f-9ef3-7aca556bd883,3136,2,00:43:45.153,88,45,42,Ball Receipt*,172,217,Barcelona,1,Regular Play,217,Barcelona,,,368a34ce-3bcd-47b6-b92e-5ec15dd0800f,5211.0,Jordi Alba Ramos,6.0,Left Back,69.8,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e18de2e4-4e54-4ee7-b5a5-fa3cd16fcf32,3137,2,00:43:45.153,88,45,30,Pass,172,217,Barcelona,1,Regular Play,217,Barcelona,1.4283,,1d2cdfea-1d86-4072-92ea-149ac93ccc27,5211.0,Jordi Alba Ramos,6.0,Left Back,69.6,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20131.0,Xavier Hernández Creus,7.970571,1.9839251,1.0,Ground Pass,66.4,23.2,,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1d2cdfea-1d86-4072-92ea-149ac93ccc27,3138,2,00:43:46.581,88,46,42,Ball Receipt*,172,217,Barcelona,1,Regular Play,217,Barcelona,,,e18de2e4-4e54-4ee7-b5a5-fa3cd16fcf32,20131.0,Xavier Hernández Creus,10.0,Center Defensive Midfield,66.4,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fd92b5e5-bebe-41cf-8918-7ff7685d051e,3139,2,00:43:46.581,88,46,43,Carry,172,217,Barcelona,1,Regular Play,217,Barcelona,0.8493,,0a51a3fe-9e4a-4a56-be86-89f8bf02cde3,20131.0,Xavier Hernández Creus,10.0,Center Defensive Midfield,66.4,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1d2cdfea-1d86-4072-92ea-149ac93ccc27,75.0,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0a51a3fe-9e4a-4a56-be86-89f8bf02cde3,3140,2,00:43:47.430,88,47,30,Pass,172,217,Barcelona,1,Regular Play,217,Barcelona,1.314393,,ce04fbda-9e27-4ce4-bf75-b6d98977f519,20131.0,Xavier Hernández Creus,10.0,Center Defensive Midfield,75.0,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5470.0,Ivan Rakitić,17.67088,1.0031991,1.0,Ground Pass,84.5,47.6,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce04fbda-9e27-4ce4-bf75-b6d98977f519,3141,2,00:43:48.745,88,48,42,Ball Receipt*,172,217,Barcelona,1,Regular Play,217,Barcelona,,,0a51a3fe-9e4a-4a56-be86-89f8bf02cde3,5470.0,Ivan Rakitić,13.0,Right Center Midfield,84.5,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628dcf7c-0440-4973-b9fa-09698f32f009,3142,2,00:43:48.745,88,48,43,Carry,172,217,Barcelona,1,Regular Play,217,Barcelona,1.511307,,ca8dd282-bb4e-44b5-9640-e7b533d5c0df,5470.0,Ivan Rakitić,13.0,Right Center Midfield,84.5,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ce04fbda-9e27-4ce4-bf75-b6d98977f519,93.5,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca8dd282-bb4e-44b5-9640-e7b533d5c0df,3143,2,00:43:50.256,88,50,30,Pass,172,217,Barcelona,1,Regular Play,217,Barcelona,0.3742,,b6b09303-e615-47dd-bed5-dec0dcb014f9,5470.0,Ivan Rakitić,13.0,Right Center Midfield,93.5,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,6.328507,-1.665748,1.0,Ground Pass,92.9,40.2,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b6b09303-e615-47dd-bed5-dec0dcb014f9,3144,2,00:43:50.630,88,50,42,Ball Receipt*,172,217,Barcelona,1,Regular Play,217,Barcelona,,,ca8dd282-bb4e-44b5-9640-e7b533d5c0df,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,92.9,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9fa0370b-c6f1-4ebd-a615-368c90b250c3,3145,2,00:43:50.630,88,50,43,Carry,172,217,Barcelona,1,Regular Play,217,Barcelona,4.6665,,76c31893-6afd-4ef9-96db-901c7b72337a,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,92.9,40.2,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,966a8604-4fce-4813-a82f-011518db1756,86.8,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b6b09303-e615-47dd-bed5-dec0dcb014f9,,,,,,,,,,,,,,,,,,
76c31893-6afd-4ef9-96db-901c7b72337a,3146,2,00:43:54.753,88,54,17,Pressure,172,217,Barcelona,1,Regular Play,403,Almería,0.411203,,9fa0370b-c6f1-4ebd-a615-368c90b250c3,24127.0,Ramon Olamilekan Azeez,11.0,Left Defensive Midfield,30.2,44.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966a8604-4fce-4813-a82f-011518db1756,3147,2,00:43:55.297,88,55,30,Pass,172,217,Barcelona,1,Regular Play,217,Barcelona,3.5668,,8fa01ffb-eb74-4c82-9f22-e5f8a324cfd3,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,86.8,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22102.0,Adriano Correia Claro,34.79598,1.7851012,2.0,Low Pass,79.4,71.5,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8fa01ffb-eb74-4c82-9f22-e5f8a324cfd3,3148,2,00:43:58.864,88,58,42,Ball Receipt*,172,217,Barcelona,1,Regular Play,217,Barcelona,,,966a8604-4fce-4813-a82f-011518db1756,22102.0,Adriano Correia Claro,2.0,Right Back,79.4,71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
